,address,age,apartments,assessmentpass,attic,basement,buildingassessedvalue,buildingassessedvaluepreviousyear,buildingsqft,centralair,city,classification,combinedassessedvalue,combinedassessedvaluepreviousyear,description,exteriorconstruction,fireplaces,fullbaths,garage,halfbaths,landassessedvalue,landassessedvaluepreviousyear,landsqft,marketvalue,marketvaluepreviousyear,neighborhood,pin,residencetype,taxcode,township,use,year
0,1213 N RIDGELAND AVE ,91,0,Board Certified,None,Full and Unfinished,"39,147","40,977","2,088",No,OAK PARK,205,"46,347","48,177","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Masonry,1,1,1,2,"7,200","7,200","6,000","$463,470","$481,770",10,16-05-100-030-0000,Two Story,27001,Oak Park,Single Family,2018
0,1201 N RIDGELAND AVE ,89,0,Board Certified,None,Full and Rec Room,"49,576","49,576","2,444",No,OAK PARK,206,"57,215","57,215","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,1,2,1,1,"7,639","7,639","6,366","$572,150","$572,150",10,16-05-100-034-0000,Two Story,27001,Oak Park,Single Family,2018
0,1211 N RIDGELAND AVE ,91,0,Board Certified,Full and Unfinished,Partial and Rec Room,"40,337","40,337","2,132",Yes,OAK PARK,205,"51,137","51,137","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Masonry,1,1,1,1,"10,800","10,800","9,000","$511,370","$511,370",10,16-05-100-035-0000,Two Story,27001,Oak Park,Single Family,2018
0,1205 N RIDGELAND AVE ,91,0,Board Certified,None,Partial and Unfinished,"59,115","59,115","3,394",No,OAK PARK,206,"69,915","69,915","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,1,2,1,1,"10,800","10,800","9,000","$699,150","$699,150",10,16-05-100-036-0000,Two Story,27001,Oak Park,Single Family,2018
0,6323 NORTH AVE ,**,,Board Certified,,,"115,271","115,271",**,,OAK PARK,517,"190,986","190,986",**,,,,,,"75,715","75,715","20,887",N/A,N/A,10,16-05-100-038-0000,,27001,Oak Park,,2018
0,6315 NORTH AVE ,**,,Board Certified,,,"121,782","121,782",**,,OAK PARK,517,"212,903","212,903",**,,,,,,"91,121","91,121","25,137",N/A,N/A,10,16-05-100-039-0000,,27001,Oak Park,,2018
0,6249 NORTH AVE ,**,,Board Certified,,,"42,890","42,890",**,,OAK PARK,522,"91,827","91,827",**,,,,,,"48,937","48,937","13,500",N/A,N/A,30,16-05-101-001-0000,,27001,Oak Park,,2018
0,6211 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-002-0000,,27001,Oak Park,,2018
0,6235 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-003-0000,,27001,Oak Park,,2018
0,6235 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-004-0000,,27001,Oak Park,,2018
0,6205 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-005-0000,,27001,Oak Park,,2018
0,6235 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-006-0000,,27001,Oak Park,,2018
0,6201 NORTH AVE ,,,Board Certified,,,,,,,OAK PARK,0,,,,,,,,,,,,,,30,16-05-101-007-0000,,27001,Oak Park,,2018
0,1230 N RIDGELAND AVE ,62,0,Board Certified,None,Partial and Rec Room,"38,598","38,598","2,052",Yes,OAK PARK,278,"43,723","43,723","Two or more story residence, up to 62 years, 2,001 to 3,800 sq.ft.",Masonry,0,1,0,1,"5,125","5,125","5,000","$437,230","$437,230",30,16-05-101-008-0000,Two Story,27001,Oak Park,Single Family,2018
0,1228 N RIDGELAND AVE ,93,0,Board Certified,Full and Unfinished,Full and Unfinished,"24,067","29,546","1,442",No,OAK PARK,203,"29,192","34,671","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"5,125","5,125","5,000","$291,920","$346,710",30,16-05-101-009-0000,One Story,27001,Oak Park,Single Family,2018
0,1224 N RIDGELAND AVE ,93,0,Board Certified,Partial and Living Area,Full and Rec Room,"43,571","43,571","2,510",No,OAK PARK,204,"48,696","48,696","One story residence, any age, 1,801 square feet and over",Frame/Masonry,1,2,1,0,"5,125","5,125","5,000","$486,960","$486,960",30,16-05-101-010-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1222 N RIDGELAND AVE ,93,0,Board Certified,None,Full and Unfinished,"25,351","27,591","1,623",No,OAK PARK,203,"30,476","32,716","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,2,0,0,"5,125","5,125","5,000","$304,760","$327,160",30,16-05-101-011-0000,One Story,27001,Oak Park,Single Family,2018
0,1220 N RIDGELAND AVE ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"32,072","34,644","2,110",No,OAK PARK,204,"37,197","39,769","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,2,0,0,"5,125","5,125","5,000","$371,970","$397,690",30,16-05-101-012-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1216 N RIDGELAND AVE ,93,0,Board Certified,Partial and Living Area,Full and Unfinished,"26,732","28,771","1,676",Yes,OAK PARK,203,"31,857","33,896","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"5,125","5,125","5,000","$318,570","$338,960",30,16-05-101-013-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1212 N RIDGELAND AVE ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"41,260","41,260","2,313",No,OAK PARK,204,"46,385","46,385","One story residence, any age, 1,801 square feet and over",Masonry,1,2,1,1,"5,125","5,125","5,000","$463,850","$463,850",30,16-05-101-014-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1210 N RIDGELAND AVE ,93,0,Board Certified,None,Full and Unfinished,"25,888","25,888","1,461",No,OAK PARK,203,"31,013","31,013","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"5,125","5,125","5,000","$310,130","$310,130",30,16-05-101-015-0000,One Story,27001,Oak Park,Single Family,2018
0,1206 N RIDGELAND AVE ,93,0,Board Certified,Partial and Living Area,Partial and Rec Room,"36,560","36,560","1,957",No,OAK PARK,204,"41,685","41,685","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,2,0,1,"5,125","5,125","5,000","$416,850","$416,850",30,16-05-101-016-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1204 N RIDGELAND AVE ,94,0,Board Certified,Full and Living Area,Full and Unfinished,"30,993","30,993","1,988",No,OAK PARK,204,"36,118","36,118","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,0,"5,125","5,125","5,000","$361,180","$361,180",30,16-05-101-017-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1200 N RIDGELAND AVE ,93,0,Board Certified,None,Full and Unfinished,"32,531","32,531","1,860",No,OAK PARK,205,"37,968","37,968","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Masonry,1,2,1,0,"5,437","5,437","5,305","$379,680","$379,680",30,16-05-101-018-0000,Two Story,27001,Oak Park,Single Family,2018
0,1231 N HARVEY AVE ,91,0,Board Certified,Full and Living Area,Partial and Rec Room,"32,274","35,182","2,203",No,OAK PARK,204,"37,399","40,307","One story residence, any age, 1,801 square feet and over",Masonry,1,1,1,0,"5,125","5,125","5,000","$373,990","$403,070",30,16-05-101-019-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1227 N HARVEY AVE ,92,0,Board Certified,Full and Living Area,Full and Unfinished,"40,146","40,146","2,269",No,OAK PARK,204,"45,271","45,271","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"5,125","5,125","5,000","$452,710","$452,710",30,16-05-101-020-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1225 N HARVEY AVE ,93,0,Board Certified,Partial and Unfinished,Full and Unfinished,"30,895","32,178","2,265",No,OAK PARK,204,"36,020","37,303","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"5,125","5,125","5,000","$360,200","$373,030",30,16-05-101-021-0000,One Story,27001,Oak Park,Single Family,2018
0,1223 N HARVEY AVE ,93,0,Board Certified,Full and Living Area,Full and Rec Room,"27,575","27,575","1,131",No,OAK PARK,203,"32,700","32,700","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"5,125","5,125","5,000","$327,000","$327,000",30,16-05-101-022-0000,One Story,27001,Oak Park,Single Family,2018
0,1221 N HARVEY AVE ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"30,594","30,594","2,153",No,OAK PARK,204,"35,719","35,719","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"5,125","5,125","5,000","$357,190","$357,190",30,16-05-101-023-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1217 N HARVEY AVE ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"35,256","35,256","2,010",No,OAK PARK,204,"40,381","40,381","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"5,125","5,125","5,000","$403,810","$403,810",30,16-05-101-024-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1213 N HARVEY AVE ,94,0,Board Certified,Full and Living Area,Partial and Rec Room,"27,625","33,132","2,008",Yes,OAK PARK,204,"32,750","38,257","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"5,125","5,125","5,000","$327,500","$382,570",30,16-05-101-025-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1211 N HARVEY AVE ,93,0,Board Certified,Full and Living Area,Full and Rec Room,"29,074","29,074","1,536",No,OAK PARK,203,"34,199","34,199","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"5,125","5,125","5,000","$341,990","$341,990",30,16-05-101-026-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1207 N HARVEY AVE ,93,0,Board Certified,Partial and Living Area,Full and Unfinished,"29,498","31,470","2,019",No,OAK PARK,204,"34,623","36,595","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,1,"5,125","5,125","5,000","$346,230","$365,950",30,16-05-101-027-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1205 N HARVEY AVE ,93,0,Board Certified,Partial and Living Area,Full and Rec Room,"35,588","35,588","1,622",Yes,OAK PARK,203,"40,713","40,713","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,3,0,1,"5,125","5,125","5,000","$407,130","$407,130",30,16-05-101-028-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1230 N HARVEY AVE ,94,0,Board Certified,Partial and Unfinished,Full and Unfinished,"25,053","25,053","1,178",No,OAK PARK,203,"29,658","29,658","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,605","4,605","4,493","$296,580","$296,580",30,16-05-102-008-0000,One Story,27001,Oak Park,Single Family,2018
0,1228 N HARVEY AVE ,94,0,Board Certified,Full and Living Area,Partial and Unfinished,"29,600","29,600","1,795",No,OAK PARK,203,"34,339","34,339","One story residence, any age, 1,000 to 1,800 square feet",Frame/Masonry,0,2,0,2,"4,739","4,739","4,624","$343,390","$343,390",30,16-05-102-009-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1226 N HARVEY AVE ,99,0,Board Certified,None,Full and Unfinished,"22,332","27,066","1,200",No,OAK PARK,205,"27,071","31,805","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Stucco,0,1,0,1,"4,739","4,739","4,624","$270,710","$318,050",30,16-05-102-010-0000,Two Story,27001,Oak Park,Single Family,2018
0,1222 N HARVEY AVE ,94,0,Board Certified,Partial and Living Area,Full and Rec Room,"31,450","31,450","1,689",No,OAK PARK,203,"36,189","36,189","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,2,0,1,"4,739","4,739","4,624","$361,890","$361,890",30,16-05-102-011-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1220 N HARVEY AVE ,99,0,Board Certified,None,Full and Unfinished,"27,870","30,955","1,836",No,OAK PARK,205,"32,609","35,694","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Stucco,0,1,0,1,"4,739","4,739","4,624","$326,090","$356,940",30,16-05-102-012-0000,Two Story,27001,Oak Park,Single Family,2018
0,1218 N HARVEY AVE ,94,0,Board Certified,None,Full and Unfinished,"35,378","35,378","2,389",Yes,OAK PARK,206,"40,117","40,117","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Frame/Masonry,0,2,0,0,"4,739","4,739","4,624","$401,170","$401,170",30,16-05-102-013-0000,Two Story,27001,Oak Park,Single Family,2018
0,1214 N HARVEY AVE ,91,0,Board Certified,Full and Living Area,Full and Rec Room,"35,195","40,799","2,337",Yes,OAK PARK,204,"39,934","45,538","One story residence, any age, 1,801 square feet and over",Masonry,1,3,1,0,"4,739","4,739","4,624","$399,340","$455,380",30,16-05-102-014-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1212 N HARVEY AVE ,99,0,Board Certified,None,Partial and Unfinished,"25,976","25,976","1,298",No,OAK PARK,205,"30,664","30,664","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Frame,0,1,0,1,"4,688","4,688","4,574","$306,640","$306,640",30,16-05-102-015-0000,Two Story,27001,Oak Park,Single Family,2018
0,1233 N LOMBARD AVE ,94,0,Board Certified,None,Full and Unfinished,"24,750","26,800","1,340",No,OAK PARK,203,"29,352","31,402","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,602","4,602","4,490","$293,520","$314,020",30,16-05-102-016-0000,One Story,27001,Oak Park,Single Family,2018
0,1229 N LOMBARD AVE ,99,0,Board Certified,None,Full and Unfinished,"22,179","22,179","1,175",No,OAK PARK,203,"26,918","26,918","One story residence, any age, 1,000 to 1,800 square feet",Frame,0,1,0,0,"4,739","4,739","4,624","$269,180","$269,180",30,16-05-102-017-0000,One Story,27001,Oak Park,Single Family,2018
0,1227 N LOMBARD AVE ,99,0,Board Certified,None,Full and Unfinished,"26,689","26,689","1,344",No,OAK PARK,203,"31,428","31,428","One story residence, any age, 1,000 to 1,800 square feet",Frame,0,1,0,0,"4,739","4,739","4,624","$314,280","$314,280",30,16-05-102-018-0000,One Story,27001,Oak Park,Single Family,2018
0,1225 N LOMBARD AVE ,94,0,Board Certified,Full and Living Area,Full and Unfinished,"24,874","29,613","1,544",No,OAK PARK,203,"29,613","34,352","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,739","4,739","4,624","$296,130","$343,520",30,16-05-102-019-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1221 N LOMBARD AVE ,92,0,Board Certified,None,Full and Unfinished,"22,902","22,902","1,426",No,OAK PARK,203,"27,641","27,641","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,739","4,739","4,624","$276,410","$276,410",30,16-05-102-020-0000,One Story,27001,Oak Park,Single Family,2018
0,1219 N LOMBARD AVE ,99,0,Board Certified,None,Full and Unfinished,"23,674","26,568","1,440",No,OAK PARK,205,"28,413","31,307","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Stucco,0,1,0,0,"4,739","4,739","4,624","$284,130","$313,070",30,16-05-102-021-0000,Two Story,27001,Oak Park,Single Family,2018
0,1215 N LOMBARD AVE ,94,0,Board Certified,Full and Living Area,Full and Rec Room,"33,583","37,131","2,150",No,OAK PARK,204,"38,322","41,870","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,1,"4,739","4,739","4,624","$383,220","$418,700",30,16-05-102-022-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1213 N LOMBARD AVE ,94,0,Board Certified,Full and Unfinished,Full and Unfinished,"25,422","25,422","1,278",No,OAK PARK,203,"30,110","30,110","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,688","4,688","4,574","$301,100","$301,100",30,16-05-102-023-0000,One Story,27001,Oak Park,Single Family,2018
0,222 LE MOYNE PKY ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"31,838","31,838","2,037",No,OAK PARK,204,"36,722","36,722","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"4,884","4,884","4,765","$367,220","$367,220",30,16-05-102-024-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,220 LE MOYNE PKY ,95,0,Board Certified,Partial and Living Area,Full and Unfinished,"28,551","29,515","1,892",Yes,OAK PARK,204,"33,035","33,999","One story residence, any age, 1,801 square feet and over",Masonry,1,2,1,1,"4,484","4,484","4,375","$330,350","$339,990",30,16-05-102-025-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,216 LE MOYNE PKY ,93,0,Board Certified,None,Full and Unfinished,"22,321","25,977","1,335",No,OAK PARK,203,"26,805","30,461","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"4,484","4,484","4,375","$268,050","$304,610",30,16-05-102-026-0000,One Story,27001,Oak Park,Single Family,2018
0,214 LE MOYNE PKY ,92,0,Board Certified,Full and Living Area,Full and Unfinished,"22,892","28,246","1,552",No,OAK PARK,203,"27,376","32,730","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"4,484","4,484","4,375","$273,760","$327,300",30,16-05-102-027-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,212 LE MOYNE PKY ,92,0,Board Certified,Full and Living Area,Full and Rec Room,"40,477","40,477","1,647",Yes,OAK PARK,203,"44,961","44,961","One story residence, any age, 1,000 to 1,800 square feet",Frame/Masonry,0,2,0,0,"4,484","4,484","4,375","$449,610","$449,610",30,16-05-102-028-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,208 LE MOYNE PKY ,92,0,Board Certified,None,Full and Unfinished,"35,138","35,138","1,897",No,OAK PARK,204,"39,622","39,622","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"4,484","4,484","4,375","$396,220","$396,220",30,16-05-102-029-0000,One Story,27001,Oak Park,Single Family,2018
0,206 LE MOYNE PKY ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"38,715","38,715","2,631",Yes,OAK PARK,204,"43,199","43,199","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,3,0,1,"4,484","4,484","4,375","$431,990","$431,990",30,16-05-102-030-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,202 LE MOYNE PKY ,92,0,Board Certified,None,Full and Rec Room,"33,160","54,953","2,052",No,OAK PARK,204,"38,285","60,078","One story residence, any age, 1,801 square feet and over",Masonry,1,3,1,1,"5,125","5,125","5,000","$382,850","$600,780",30,16-05-102-031-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,6201 NORTH AVE ,**,,Board Certified,,,"32,482","162,422",**,,OAK PARK,530,"162,985","292,925",**,,,,,,"130,503","130,503","36,001",N/A,N/A,30,16-05-102-032-0000,,27001,Oak Park,,2018
0,6149 NORTH AVE ,**,,Board Certified,,,"68,633","68,633",**,,OAK PARK,318,"77,695","77,695",**,,,,,,"9,062","9,062","6,250",N/A,N/A,30,16-05-103-001-0000,,27001,Oak Park,,2018
0,6147 NORTH AVE ,**,,Board Certified,,,"79,938","79,938",**,,OAK PARK,517,"125,250","125,250",**,,,,,,"45,312","45,312","12,500",N/A,N/A,30,16-05-103-002-0000,,27001,Oak Park,,2018
0,1230 N LOMBARD AVE ,94,0,Board Certified,None,Full and Unfinished,"22,335","22,335","1,236",No,OAK PARK,205,"26,976","26,976","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Stucco,0,1,0,1,"4,641","4,641","4,528","$269,760","$269,760",30,16-05-103-008-0000,Two Story,27001,Oak Park,Single Family,2018
0,1228 N LOMBARD AVE ,94,0,Board Certified,Full and Unfinished,Full and Unfinished,"29,825","33,538","1,788",No,OAK PARK,205,"34,599","38,312","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Frame,0,1,0,1,"4,774","4,774","4,658","$345,990","$383,120",30,16-05-103-009-0000,Two Story,27001,Oak Park,Single Family,2018
0,1226 N LOMBARD AVE ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"30,532","30,532","1,958",Yes,OAK PARK,204,"35,306","35,306","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,0,"4,774","4,774","4,658","$353,060","$353,060",30,16-05-103-010-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1224 N LOMBARD AVE ,94,0,Board Certified,None,None,"35,069","29,978","2,259",Yes,OAK PARK,206,"39,843","34,752","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",N/A,0,2,0,0,"4,774","4,774","4,658","$398,430","$347,520",30,16-05-103-011-0000,N/A,27001,Oak Park,N/A,2018
0,1220 N LOMBARD AVE ,94,0,Board Certified,Partial and Living Area,Full and Unfinished,"38,926","38,926","2,196",Yes,OAK PARK,204,"43,700","43,700","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,2,0,0,"4,774","4,774","4,658","$437,000","$437,000",30,16-05-103-012-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
