,taxbill2018,taxbill2017,taxbill2016,taxbill2015,taxbill2014,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,"$11,310.88<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$20,565.24","$20,171.55","$18,028.08","$16,770.76","$603,140","60,314","5,644","3,144",2-06,27001,1200  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-023-0000
0,"$8,303.20<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,096.72","$16,020.08","$14,353.76","$13,338.09","$417,980","41,798","6,000","1,911",2-04,27001,1235 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-024-0000
0,"$7,680.37<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,964.30","$13,494.37","$12,045.43","$11,211.37","$420,380","42,038","6,000","2,292",2-04,27001,1231 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-025-0000
0,"$10,298.22<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$18,724.03","$16,455.99","$13,122.63","$12,225.54","$518,410","51,841","6,000","2,167",2-05,27001,1227 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-026-0000
0,"$10,024.45<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$18,226.28","$15,945.56","$14,241.59","$14,554.41","$538,380","53,838","6,000","2,246",2-06,27001,1225 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-027-0000
0,"$7,547.67<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,723.04","$12,254.41","$10,934.31","$10,178.87","$413,700","41,370","6,000","1,490",2-05,27001,1221 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-028-0000
0,"$8,874.07<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$16,134.67","$18,267.11","$16,321.67","$15,185.07","$480,470","48,047","6,000","2,417",2-06,27001,1217 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-029-0000
0,"$8,363.48<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,206.32","$14,221.02","$12,663.97","$12,569.95","$481,770","48,177","6,000","2,088",2-05,27001,1213 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-030-0000
0,"$10,695.29<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$19,445.99","$18,122.09","$16,191.80","$16,306.22","$572,150","57,215","6,366","2,444",2-06,27001,1201 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-034-0000
0,"$9,487.91<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$17,250.75","$16,502.94","$14,741.07","$13,716.31","$511,370","51,137","9,000","2,132",2-05,27001,1211 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-035-0000
0,"$13,218.13<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$24,032.97","$23,824.95","$21,301.44","$19,812.42","$699,150","69,915","9,000","3,394",2-06,27001,1205 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-036-0000
0,"$37,939.45<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$68,980.82","$83,413.09","$72,115.57","$65,951.93",,"190,986","20,887",,5-17,27001,6323  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-038-0000
0,"$42,293.31<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$76,896.93","$85,824.37","$74,303.76","$68,146.89",,"212,903","25,137",,5-17,27001,6315  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-039-0000
0,"$18,241.49<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$33,166.35","$34,889.22","$31,260.45","$29,048.44",,"91,827","13,500",,5-22,27001,6249  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-001-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6211  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-002-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-003-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-004-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6205  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-005-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-006-0000
0,"$0.00<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>",$0.00,$0.00,$0.00,$0.00,,0,0,,0-00,27001,6201  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-007-0000
0,"$8,015.08<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$14,572.88","$12,645.95","$11,285.27","$10,504.96","$437,230","43,723","5,000","2,052",2-78,27001,1230 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-008-0000
0,"$5,680.52<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,328.22","$8,602.74","$7,630.00","$7,736.40","$346,710","34,671","5,000","1,442",2-03,27001,1228 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-009-0000
0,"$9,003.01<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$16,369.10","$13,623.59","$12,161.11","$11,318.96","$486,960","48,696","5,000","2,510",2-04,27001,1224 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-010-0000
0,"$5,828.56<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,597.39","$9,837.81","$8,769.10","$8,167.00","$327,160","32,716","5,000","1,623",2-03,27001,1222 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-011-0000
0,"$7,229.65<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,144.82","$11,726.75","$10,461.59","$9,739.54","$397,690","39,769","5,000","2,110",2-04,27001,1220 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-012-0000
0,"$6,062.97<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,023.59","$9,528.69","$8,492.20","$8,849.19","$338,960","33,896","5,000","1,676",2-03,27001,1216 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-013-0000
0,"$8,543.91<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,534.38","$13,374.05","$11,937.59","$11,111.16","$463,850","46,385","5,000","2,313",2-04,27001,1212 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-014-0000
0,"$5,490.23<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$9,982.23","$10,382.84","$9,257.50","$8,620.73","$310,130","31,013","5,000","1,461",2-03,27001,1210 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-015-0000
0,"$7,610.23<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,836.79","$11,593.08","$10,341.86","$9,628.38","$416,850","41,685","5,000","1,957",2-04,27001,1206 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-016-0000
0,"$5,967.96<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,850.84","$10,287.94","$9,139.92","$8,524.57","$361,180","36,118","5,000","1,988",2-04,27001,1204 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-017-0000
0,"$6,335.47<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,519.03","$12,742.29","$11,339.06","$11,182.84","$379,680","37,968","5,305","1,860",2-05,27001,1200 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-018-0000
0,"$6,800.13<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$12,363.87","$8,178.17","$8,402.19","$5,226.54","$403,070","40,307","5,000","2,203",2-04,27001,1231 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-019-0000
0,"$8,322.58<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,131.96","$12,910.00","$11,521.77","$10,724.82","$452,710","45,271","5,000","2,269",2-04,27001,1227 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-020-0000
0,"$6,203.38<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,278.87","$10,362.03","$9,206.28","$8,586.30","$373,030","37,303","5,000","2,265",2-04,27001,1225 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-021-0000
0,"$3,289.23<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$5,980.42","$7,904.94","$7,440.27","$6,535.94","$327,000","32,700","5,000","1,131",2-03,27001,1223 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-022-0000
0,"$5,888.71<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,706.75","$9,251.15","$8,210.97","$7,661.39","$357,190","35,719","5,000","2,153",2-04,27001,1221 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-023-0000
0,"$7,351.22<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,365.85","$11,607.15","$10,354.43","$9,640.06","$403,810","40,381","5,000","2,010",2-04,27001,1217 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-024-0000
0,"$6,929.27<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$12,598.67","$10,444.01","$9,312.23","$8,671.63","$382,570","38,257","5,000","2,008",2-04,27001,1213 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-025-0000
0,"$6,123.12<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,132.94","$10,995.79","$9,806.70","$9,131.01","$341,990","34,199","5,000","1,536",2-03,27001,1211 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-026-0000
0,"$6,599.11<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,998.38","$10,950.27","$9,765.89","$9,093.14","$365,950","36,595","5,000","2,019",2-04,27001,1207 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-027-0000
0,"$6,880.72<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$12,510.40","$10,900.16","$9,688.46","$9,649.16","$407,130","40,713","5,000","1,622",2-03,27001,1205 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-028-0000
0,"$5,221.09<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$9,492.89","$8,282.27","$7,375.40","$6,871.74","$296,580","29,658","4,493","1,178",2-03,27001,1230 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-008-0000
0,"$6,150.95<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,183.54","$10,619.03","$9,469.12","$8,817.34","$343,390","34,339","4,624","1,795",2-03,27001,1228 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-009-0000
0,"$5,647.60<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,268.36","$8,969.73","$7,991.23","$7,913.58","$318,050","31,805","4,624","1,200",2-05,27001,1226 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-010-0000
0,"$6,518.45<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,851.72","$10,433.96","$9,303.17","$9,678.92","$361,890","36,189","4,624","1,689",2-03,27001,1222 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-011-0000
0,"$6,420.15<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$11,673.00","$10,693.12","$10,834.85","$10,086.41","$356,940","35,694","4,624","1,836",2-05,27001,1220 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-012-0000
0,"$7,298.78<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$13,270.51","$11,993.52","$10,700.66","$10,736.50","$401,170","40,117","4,624","2,389",2-06,27001,1218 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-013-0000
0,"$8,375.61<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$15,228.39","$12,070.77","$10,769.85","$11,736.41","$455,380","45,538","4,624","2,337",2-04,27001,1214 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-014-0000
0,"$5,420.90<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$9,856.18","$9,754.97","$8,694.91","$8,097.90","$306,640","30,664","4,574","1,298",2-05,27001,1212 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-015-0000
0,"$5,567.54<span id=""ContentPlaceHolder1_TaxBillInfo_rptTaxBill_Label1_0"">*</span>","$10,122.80","$8,378.04","$7,461.21","$6,951.54","$314,020","31,402","4,490","1,340",2-03,27001,1233 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-016-0000
