,address,assessedvalue,buildingsize,city,class,estimatedvalue,homeownerexemption,lotsize,pin,seniorcitizenexemption,seniorfreezeexemption,taxafterexemptions,taxbeforeexemptions,taxbill2014,taxbill2015,taxbill2016,taxbill2017,taxbill2018,taxcode,township,zip
0,6235  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-006-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,6201  NORTH AVE,0,,OAK PARK,0,,,0,16-05-101-007-0000,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,27001,OAK PARK,60302
0,1230 N RIDGELAND AVE,"43,723","2,052",OAK PARK,2-78,"$437,230","1,268.60","5,000",16-05-101-008-0000,0.00,0.00,"14,877.25","16,145.85","$10,504.96","$11,285.27","$12,645.95","$14,572.88","$14,877.25",27001,OAK PARK,60302
0,1228 N RIDGELAND AVE,"29,192","1,442",OAK PARK,2-03,"$291,920","1,268.60","5,000",16-05-101-009-0000,"1,014.88",0.00,"8,496.45","10,779.93","$7,736.40","$7,630.00","$8,602.74","$10,328.22","$8,496.45",27001,OAK PARK,60302
0,1224 N RIDGELAND AVE,"48,696","2,510",OAK PARK,2-04,"$486,960","1,268.60","5,000",16-05-101-010-0000,0.00,0.00,"16,713.68","17,982.28","$11,318.96","$12,161.11","$13,623.59","$16,369.10","$16,713.68",27001,OAK PARK,60302
0,1222 N RIDGELAND AVE,"30,476","1,623",OAK PARK,2-03,"$304,760","1,268.60","5,000",16-05-101-011-0000,0.00,0.00,"9,985.53","11,254.13","$8,167.00","$8,769.10","$9,837.81","$10,597.39","$9,985.53",27001,OAK PARK,60302
0,1220 N RIDGELAND AVE,"37,197","2,110",OAK PARK,2-04,"$371,970","1,268.60","5,000",16-05-101-012-0000,0.00,0.00,"12,467.42","13,736.02","$9,739.54","$10,461.59","$11,726.75","$13,144.82","$12,467.42",27001,OAK PARK,60302
0,1216 N RIDGELAND AVE,"31,857","1,676",OAK PARK,2-03,"$318,570","1,268.60","5,000",16-05-101-013-0000,0.00,0.00,"10,495.51","11,764.11","$8,849.19","$8,492.20","$9,528.69","$11,023.59","$10,495.51",27001,OAK PARK,60302
0,1212 N RIDGELAND AVE,"39,704","2,313",OAK PARK,2-04,"$397,040","1,268.60","5,000",16-05-101-014-0000,0.00,0.00,"15,860.29","17,128.89","$11,111.16","$11,937.59","$13,374.05","$15,534.38","$15,860.29",27001,OAK PARK,60302
0,1210 N RIDGELAND AVE,"31,013","1,461",OAK PARK,2-03,"$310,130","1,268.60","5,000",16-05-101-015-0000,0.00,0.00,"10,183.81","11,452.41","$8,620.73","$9,257.50","$10,382.84","$9,982.23","$10,183.81",27001,OAK PARK,60302
0,1206 N RIDGELAND AVE,"41,685","1,957",OAK PARK,2-04,"$416,850","1,268.60","5,000",16-05-101-016-0000,0.00,0.00,"14,124.72","15,393.32","$9,628.38","$10,341.86","$11,593.08","$13,836.79","$14,124.72",27001,OAK PARK,60302
0,1204 N RIDGELAND AVE,"36,118","1,988",OAK PARK,2-04,"$361,180","1,268.60","5,000",16-05-101-017-0000,"1,014.88",0.00,"11,054.07","13,337.55","$8,524.57","$9,139.92","$10,287.94","$10,850.84","$11,054.07",27001,OAK PARK,60302
0,1200 N RIDGELAND AVE,"37,968","1,860",OAK PARK,2-05,"$379,680","1,268.60","5,305",16-05-101-018-0000,"1,014.88",0.00,"11,737.21","14,020.69","$11,182.84","$11,339.06","$12,742.29","$11,519.03","$11,737.21",27001,OAK PARK,60302
0,1231 N HARVEY AVE,"32,404","2,203",OAK PARK,2-03,"$324,040","1,268.60","5,000",16-05-101-019-0000,"1,014.88","4,265.41","7,261.72","13,810.61","$5,226.54","$8,402.19","$8,178.17","$12,363.87","$7,261.72",27001,OAK PARK,60302
0,1227 N HARVEY AVE,"45,271","2,269",OAK PARK,2-04,"$452,710","1,268.60","5,000",16-05-101-020-0000,0.00,0.00,"15,448.88","16,717.48","$10,724.82","$11,521.77","$12,910.00","$15,131.96","$15,448.88",27001,OAK PARK,60302
0,1225 N HARVEY AVE,"36,020","2,265",OAK PARK,2-04,"$360,200","1,268.60","5,000",16-05-101-021-0000,"1,014.88",0.00,"11,017.92","13,301.40","$8,586.30","$9,206.28","$10,362.03","$11,278.87","$11,017.92",27001,OAK PARK,60302
0,1223 N HARVEY AVE,"32,700","1,131",OAK PARK,2-03,"$327,000","1,268.60","5,000",16-05-101-022-0000,"1,014.88","3,568.57","6,223.24","12,075.30","$6,535.94","$7,440.27","$7,904.94","$5,980.42","$6,223.24",27001,OAK PARK,60302
0,1221 N HARVEY AVE,"35,719","2,153",OAK PARK,2-04,"$357,190","1,268.60","5,000",16-05-101-023-0000,"1,014.88",0.00,"10,906.66","13,190.14","$7,661.39","$8,210.97","$9,251.15","$10,706.75","$10,906.66",27001,OAK PARK,60302
0,1217 N HARVEY AVE,"40,381","2,010",OAK PARK,2-04,"$403,810","1,268.60","5,000",16-05-101-024-0000,0.00,0.00,"13,643.16","14,911.76","$9,640.06","$10,354.43","$11,607.15","$13,365.85","$13,643.16",27001,OAK PARK,60302
0,1213 N HARVEY AVE,"32,750","2,008",OAK PARK,2-04,"$327,500","1,268.60","5,000",16-05-101-025-0000,0.00,0.00,"10,825.22","12,093.82","$8,671.63","$9,312.23","$10,444.01","$12,598.67","$10,825.22",27001,OAK PARK,60302
0,1211 N HARVEY AVE,"34,199","1,536",OAK PARK,2-03,"$341,990","1,268.60","5,000",16-05-101-026-0000,0.00,0.00,"11,360.31","12,628.91","$9,131.01","$9,806.70","$10,995.79","$11,132.94","$11,360.31",27001,OAK PARK,60302
0,1207 N HARVEY AVE,"34,623","2,019",OAK PARK,2-04,"$346,230","1,268.60","5,000",16-05-101-027-0000,0.00,0.00,"11,516.86","12,785.46","$9,093.14","$9,765.89","$10,950.27","$11,998.38","$11,516.86",27001,OAK PARK,60302
0,1205 N HARVEY AVE,"40,713","1,622",OAK PARK,2-03,"$407,130","1,268.60","5,000",16-05-101-028-0000,"1,014.88",0.00,"12,750.83","15,034.31","$9,649.16","$9,688.46","$10,900.16","$12,510.40","$12,750.83",27001,OAK PARK,60302
0,1230 N HARVEY AVE,"29,658","1,178",OAK PARK,2-03,"$296,580","1,268.60","4,493",16-05-102-008-0000,0.00,0.00,"9,683.35","10,951.95","$6,871.74","$7,375.40","$8,282.27","$9,492.89","$9,683.35",27001,OAK PARK,60302
0,1228 N HARVEY AVE,"34,339","1,795",OAK PARK,2-03,"$343,390","1,268.60","4,624",16-05-102-009-0000,0.00,0.00,"11,411.95","12,680.55","$8,817.34","$9,469.12","$10,619.03","$11,183.54","$11,411.95",27001,OAK PARK,60302
0,1226 N HARVEY AVE,"27,071","1,200",OAK PARK,2-05,"$270,710","1,268.60","4,624",16-05-102-010-0000,0.00,0.00,"8,728.09","9,996.69","$7,913.58","$7,991.23","$8,969.73","$10,268.36","$8,728.09",27001,OAK PARK,60302
0,1222 N HARVEY AVE,"33,840","1,689",OAK PARK,2-03,"$338,400","1,268.60","4,624",16-05-102-011-0000,0.00,0.00,"12,095.21","13,363.81","$9,678.92","$9,303.17","$10,433.96","$11,851.72","$12,095.21",27001,OAK PARK,60302
0,1220 N HARVEY AVE,"32,609","1,836",OAK PARK,2-05,"$326,090","1,268.60","4,624",16-05-102-012-0000,0.00,0.00,"10,773.20","12,041.80","$10,086.41","$10,834.85","$10,693.12","$11,673.00","$10,773.20",27001,OAK PARK,60302
0,1218 N HARVEY AVE,"40,117","2,389",OAK PARK,2-06,"$401,170","1,268.60","4,624",16-05-102-013-0000,0.00,0.00,"13,545.73","14,814.33","$10,736.50","$10,700.66","$11,993.52","$13,270.51","$13,545.73",27001,OAK PARK,60302
0,1214 N HARVEY AVE,"39,934","2,337",OAK PARK,2-04,"$399,340","1,268.60","4,624",16-05-102-014-0000,0.00,0.00,"13,478.11","14,746.71","$11,736.41","$10,769.85","$12,070.77","$15,228.39","$13,478.11",27001,OAK PARK,60302
0,1212 N HARVEY AVE,"30,664","1,298",OAK PARK,2-05,"$306,640","1,268.60","4,574",16-05-102-015-0000,0.00,0.00,"10,054.92","11,323.52","$8,097.90","$8,694.91","$9,754.97","$9,856.18","$10,054.92",27001,OAK PARK,60302
0,1233 N LOMBARD AVE,"29,352","1,340",OAK PARK,2-03,"$293,520",0.00,"4,490",16-05-102-016-0000,0.00,0.00,"10,839.05","10,839.05","$6,951.54","$7,461.21","$8,378.04","$10,122.80","$10,839.05",27001,OAK PARK,60302
0,1229 N LOMBARD AVE,"26,918","1,175",OAK PARK,2-03,"$269,180","1,268.60","4,624",16-05-102-017-0000,0.00,0.00,"8,671.64","9,940.24","$7,109.42","$7,631.09","$8,567.56","$8,503.22","$8,671.64",27001,OAK PARK,60302
0,1227 N LOMBARD AVE,"31,428","1,344",OAK PARK,2-03,"$314,280","1,268.60","4,624",16-05-102-018-0000,"1,014.88","2,482.27","6,586.19","11,605.66","$7,121.47","$7,826.90","$8,315.72","$6,329.20","$6,586.19",27001,OAK PARK,60302
0,1225 N LOMBARD AVE,"29,613","1,544",OAK PARK,2-03,"$296,130","1,268.60","4,624",16-05-102-019-0000,"1,014.88",0.00,"8,651.85","10,935.33","$7,521.71","$8,060.70","$9,083.30","$10,213.01","$8,651.85",27001,OAK PARK,60302
0,1221 N LOMBARD AVE,"27,641","1,426",OAK PARK,2-03,"$276,410","1,268.60","4,624",16-05-102-020-0000,"1,014.88",0.00,"7,923.68","10,207.16","$7,552.33","$8,107.72","$8,726.65","$7,789.07","$7,923.68",27001,OAK PARK,60302
0,1219 N LOMBARD AVE,"28,413","1,440",OAK PARK,2-05,"$284,130","1,268.60","4,624",16-05-102-021-0000,0.00,0.00,"9,223.61","10,492.21","$8,695.36","$9,337.90","$10,472.58","$10,088.42","$9,223.61",27001,OAK PARK,60302
0,1215 N LOMBARD AVE,"38,322","2,150",OAK PARK,2-04,"$383,220","1,268.60","4,624",16-05-102-022-0000,"1,014.88",0.00,"11,868.01","14,151.49","$9,092.28","$8,797.34","$9,905.58","$12,928.31","$11,868.01",27001,OAK PARK,60302
0,1213 N LOMBARD AVE,"30,110","1,278",OAK PARK,2-03,"$301,100","1,268.60","4,574",16-05-102-023-0000,0.00,0.00,"9,850.30","11,118.90","$7,394.20","$7,937.58","$8,909.71","$9,656.13","$9,850.30",27001,OAK PARK,60302
0,222  LE MOYNE PKY,"36,722","2,037",OAK PARK,2-04,"$367,220","1,268.60","4,765",16-05-102-024-0000,0.00,0.00,"12,291.97","13,560.57","$9,917.58","$10,653.09","$11,940.40","$12,044.22","$12,291.97",27001,OAK PARK,60302
0,220  LE MOYNE PKY,"33,035","1,892",OAK PARK,2-04,"$330,350","1,268.60","4,375",16-05-102-025-0000,0.00,0.00,"10,930.51","12,199.11","$8,266.11","$8,875.86","$9,286.90","$11,060.77","$10,930.51",27001,OAK PARK,60302
0,216  LE MOYNE PKY,"26,805","1,335",OAK PARK,2-03,"$268,050",0.00,"4,375",16-05-102-026-0000,0.00,0.00,"9,898.51","9,898.51","$7,694.84","$7,452.57","$8,368.42","$9,782.91","$9,898.51",27001,OAK PARK,60302
0,214  LE MOYNE PKY,"27,376","1,552",OAK PARK,2-03,"$273,760","1,268.60","4,375",16-05-102-027-0000,"1,014.88",253.72,"7,572.15","10,109.35","$8,025.23","$8,616.66","$9,667.53","$10,602.39","$7,572.15",27001,OAK PARK,60302
0,212  LE MOYNE PKY,"35,503","1,647",OAK PARK,2-03,"$355,030",0.00,"4,375",16-05-102-028-0000,0.00,0.00,"16,603.06","16,603.06","$9,969.47","$9,656.02","$10,776.83","$16,239.14","$16,603.06",27001,OAK PARK,60302
0,208  LE MOYNE PKY,"39,622","1,897",OAK PARK,2-04,"$396,220","1,268.60","4,375",16-05-102-029-0000,0.00,0.00,"13,362.92","14,631.52","$9,446.77","$10,146.31","$11,374.98","$13,091.67","$13,362.92",27001,OAK PARK,60302
0,206  LE MOYNE PKY,"43,199","2,631",OAK PARK,2-04,"$431,990","1,268.60","4,375",16-05-102-030-0000,"1,014.88",0.00,"13,668.91","15,952.39","$10,158.96","$9,671.83","$10,881.64","$13,408.39","$13,668.91",27001,OAK PARK,60302
0,202  LE MOYNE PKY,"36,042","2,052",OAK PARK,2-04,"$360,420","1,268.60","5,000",16-05-102-031-0000,0.00,0.00,"12,869.19","14,137.79","$12,246.69","$12,233.28","$13,704.14","$20,480.03","$12,869.19",27001,OAK PARK,60302
0,6201  NORTH AVE,"162,981",,OAK PARK,5-30,,0.00,"36,001",16-05-102-032-0000,0.00,0.00,"60,186.57","60,186.57","$102,598.07","$97,473.78","$108,788.84","$105,799.47","$60,186.57",27001,OAK PARK,60302
0,6149  NORTH AVE,"77,695",,OAK PARK,3-18,,0.00,"6,250",16-05-103-001-0000,0.00,0.00,"28,690.91","28,690.91","$27,363.52","$24,743.59","$29,487.89","$28,062.10","$28,690.91",27001,OAK PARK,60302
0,6147  NORTH AVE,"125,250",,OAK PARK,5-17,,0.00,"12,500",16-05-103-002-0000,0.00,0.00,"46,251.89","46,251.89","$39,206.66","$42,192.33","$47,090.22","$45,238.12","$46,251.89",27001,OAK PARK,60302
0,1230 N LOMBARD AVE,"26,976","1,236",OAK PARK,2-05,"$269,760","1,268.60","4,528",16-05-103-008-0000,0.00,0.00,"8,692.95","9,961.55","$6,765.87","$7,261.34","$7,189.91","$8,524.19","$8,692.95",27001,OAK PARK,60302
0,1228 N LOMBARD AVE,"34,599","1,788",OAK PARK,2-05,"$345,990","1,268.60","4,658",16-05-103-009-0000,0.00,0.00,"11,507.98","12,776.58","$2,294.43","$10,896.88","$12,212.48","$12,618.54","$11,507.98",27001,OAK PARK,60302
0,1226 N LOMBARD AVE,"33,556","1,958",OAK PARK,2-04,"$335,560",0.00,"4,658",16-05-103-010-0000,0.00,0.00,"13,037.66","13,037.66","$9,116.87","$9,811.03","$10,017.86","$12,751.91","$13,037.66",27001,OAK PARK,60302
0,1224 N LOMBARD AVE,"39,843","2,259",OAK PARK,2-06,"$398,430","1,268.60","4,658",16-05-103-011-0000,0.00,0.00,"13,444.50","14,713.10","$7,582.33","$8,801.67","$9,874.00","$11,332.75","$13,444.50",27001,OAK PARK,60302
0,1220 N LOMBARD AVE,"43,700","2,196",OAK PARK,2-04,"$437,000","1,268.60","4,658",16-05-103-012-0000,"1,014.88",0.00,"13,853.87","16,137.35","$9,587.56","$10,283.88","$11,564.65","$13,589.31","$13,853.87",27001,OAK PARK,60302
0,1218 N LOMBARD AVE,"33,263","1,862",OAK PARK,2-04,"$332,630","1,268.60","4,658",16-05-103-013-0000,0.00,0.00,"11,014.62","12,283.22","$10,292.86","$11,056.88","$8,644.95","$12,659.01","$11,014.62",27001,OAK PARK,60302
0,1216 N LOMBARD AVE,"29,454","2,508",OAK PARK,2-06,"$294,540","1,268.60","4,658",16-05-103-014-0000,0.00,0.00,"9,608.12","10,876.72","$7,399.86","$7,943.66","$8,916.61","$9,419.13","$9,608.12",27001,OAK PARK,60302
0,1212 N LOMBARD AVE,"36,030","1,893",OAK PARK,2-04,"$360,300","1,268.60","4,613",16-05-103-015-0000,0.00,0.00,"12,906.48","14,175.08","$8,964.52","$9,627.37","$10,795.78","$12,645.24","$12,906.48",27001,OAK PARK,60302
0,1231  HAYES AVE,"29,547","1,022",OAK PARK,2-03,"$295,470","1,268.60","4,528",16-05-103-016-0000,0.00,0.00,"11,527.90","12,796.50","$4,188.76","$9,750.08","$9,876.87","$15,882.19","$11,527.90",27001,OAK PARK,60302
0,1229  HAYES AVE,"37,665","2,183",OAK PARK,2-04,"$376,650","1,268.60","4,658",16-05-103-017-0000,0.00,0.00,"12,640.20","13,908.80","$9,659.49","$10,375.37","$11,630.55","$12,686.44","$12,640.20",27001,OAK PARK,60302
0,1227  HAYES AVE,"33,194","1,396",OAK PARK,2-03,"$331,940","1,268.60","4,658",16-05-103-018-0000,"1,014.88","3,547.39","6,426.85","12,257.72","$6,967.04","$7,657.17","$8,135.39","$6,176.08","$6,426.85",27001,OAK PARK,60302
0,1225  HAYES AVE,"30,023","1,647",OAK PARK,2-03,"$300,230","1,268.60","4,658",16-05-103-019-0000,0.00,0.00,"9,818.20","11,086.80","$9,109.98","$8,298.14","$9,312.17","$11,258.27","$9,818.20",27001,OAK PARK,60302
0,1221  HAYES AVE,"34,125","2,009",OAK PARK,2-04,"$341,250",0.00,"4,658",16-05-103-020-0000,0.00,0.00,"13,224.90","13,224.90","$8,913.74","$7,176.34","$10,235.53","$12,935.02","$13,224.90",27001,OAK PARK,60302
0,1219  HAYES AVE,"41,620","2,002",OAK PARK,2-04,"$416,200",0.00,"4,658",16-05-103-021-0000,0.00,0.00,"15,369.34","15,369.34","$9,291.72","$9,959.82","$11,217.47","$12,838.10","$15,369.34",27001,OAK PARK,60302
0,1215  HAYES AVE,"30,987","1,672",OAK PARK,2-03,"$309,870",0.00,"4,658",16-05-103-022-0000,0.00,0.00,"11,442.77","11,442.77","$9,766.96","$10,510.65","$11,730.77","$12,635.24","$11,442.77",27001,OAK PARK,60302
0,1213  HAYES AVE,"30,906","1,244",OAK PARK,2-05,"$309,060","1,268.60","4,613",16-05-103-023-0000,"1,014.88","3,305.46","5,823.89","11,412.83","$7,264.85","$7,014.85","$7,452.95","$5,596.64","$5,823.89",27001,OAK PARK,60302
0,152  LE MOYNE PKY,"35,544","2,210",OAK PARK,2-06,"$355,440","1,268.60","4,902",16-05-103-024-0000,0.00,0.00,"11,856.97","13,125.57","$9,851.80","$10,582.41","$11,861.57","$11,618.75","$11,856.97",27001,OAK PARK,60302
0,150  LE MOYNE PKY,"37,523","1,299",OAK PARK,2-03,"$375,230","1,268.60","4,375",16-05-103-025-0000,0.00,0.00,"12,587.81","13,856.41","$8,735.32","$9,380.74","$10,520.39","$12,333.51","$12,587.81",27001,OAK PARK,60302
0,146  LE MOYNE PKY,"28,789","1,425",OAK PARK,2-03,"$287,890","1,268.60","4,375",16-05-103-026-0000,0.00,0.00,"9,362.52","10,631.12","$8,367.06","$8,984.38","$10,078.17","$9,178.97","$9,362.52",27001,OAK PARK,60302
0,140  LE MOYNE PKY,"28,603","1,197",OAK PARK,2-03,"$286,030","1,268.60","4,375",16-05-103-028-0000,0.00,0.00,"9,293.76","10,562.36","$6,807.43","$7,306.07","$8,205.02","$9,111.80","$9,293.76",27001,OAK PARK,60302
0,138  LE MOYNE PKY,"29,129","1,185",OAK PARK,2-03,"$291,290","1,268.60","4,375",16-05-103-029-0000,0.00,0.00,"9,488.11","10,756.71","$9,693.67","$10,412.13","$11,671.62","$14,865.58","$9,488.11",27001,OAK PARK,60302
0,134  LE MOYNE PKY,"32,114","1,831",OAK PARK,2-04,"$321,140","1,268.60","4,375",16-05-103-030-0000,"1,014.88","1,161.40","8,414.12","11,859.00","$8,295.37","$8,091.64","$9,117.90","$10,337.24","$8,414.12",27001,OAK PARK,60302
0,130  LE MOYNE PKY,"53,530","2,285",OAK PARK,2-06,"$535,300",0.00,"5,000",16-05-103-031-0000,0.00,0.00,"19,767.33","19,767.33","$10,570.99","$11,356.22","$12,725.21","$19,334.07","$19,767.33",27001,OAK PARK,60302
0,6129  NORTH AVE,"193,664",,OAK PARK,5-23,,0.00,"17,408",16-05-103-032-0000,0.00,0.00,"71,515.68","71,515.68","$72,918.11","$76,631.95","$85,527.73","$83,309.03","$71,515.68",27001,OAK PARK,60302
0,6111  NORTH AVE,"35,522",,OAK PARK,5-17,,0.00,"3,125",16-05-104-005-0000,0.00,0.00,"13,117.45","13,117.45","$10,890.81","$11,720.15","$13,080.71","$12,641.46","$13,117.45",27001,OAK PARK,60302
0,6109  NORTH AVE,"35,522",,OAK PARK,5-17,,0.00,"3,125",16-05-104-006-0000,0.00,0.00,"13,117.45","13,117.45","$10,890.81","$11,720.15","$13,080.71","$12,641.46","$13,117.45",27001,OAK PARK,60302
0,6101  NORTH AVE,"135,500",,OAK PARK,3-18,,0.00,"14,283",16-05-104-007-0000,0.00,0.00,"50,037.01","50,037.01","$42,390.46","$45,618.53","$48,757.61","$41,763.56","$50,037.01",27001,OAK PARK,60302
0,1230  HAYES AVE,"29,121","1,530",OAK PARK,2-03,"$291,210","1,268.60","4,528",16-05-104-008-0000,"1,014.88","3,000.49","5,469.70","10,753.67","$6,039.30","$6,637.54","$8,976.62","$5,256.27","$5,469.70",27001,OAK PARK,60302
0,1228  HAYES AVE,"23,802","1,010",OAK PARK,2-03,"$238,020","1,268.60","4,658",16-05-104-009-0000,"1,014.88","1,483.37","5,022.64","8,789.50","$5,605.99","$6,161.30","$6,546.10","$4,826.66","$5,022.64",27001,OAK PARK,60302
