,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-07-321-022-1002,409 2 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$676,"$4,687","$5,363",$675,"$4,686","$5,361","$53,630","$53,610",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1003,409 3 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$676,"$4,687","$5,363",$675,"$4,686","$5,361","$53,630","$53,610",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1004,409 4 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,"$1,072","$7,432","$8,504","$1,071","$7,431","$8,502","$85,040","$85,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-07-321-022-1005,409 5 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,"$1,072","$7,432","$8,504","$1,071","$7,431","$8,502","$85,040","$85,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1006,409 6 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,"$1,072","$7,432","$8,504","$1,071","$7,431","$8,502","$85,040","$85,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1007,409 7 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$676,"$4,687","$5,363",$675,"$4,686","$5,361","$53,630","$53,610",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1008,409 8 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$676,"$4,687","$5,363",$675,"$4,686","$5,361","$53,630","$53,610",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1009,409 9 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$840,"$5,825","$6,665",$839,"$5,824","$6,663","$66,650","$66,630",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1010,409 10 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,"$1,072","$7,432","$8,504","$1,071","$7,431","$8,502","$85,040","$85,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-07-321-022-1011,409 11 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,"$1,072","$7,432","$8,504","$1,071","$7,431","$8,502","$85,040","$85,020",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1012,409 P-12 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$39,$268,$307,$38,$267,$305,"$3,070","$3,050",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-321-022-1013,409 P-13 S MAPLE AVE,OAK PARK,Oak Park,299,"10,163",40,27001,$39,$268,$307,$38,$267,$305,"$3,070","$3,050",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,57,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-001-0000,400 S MAPLE AVE,OAK PARK,Oak Park,315,"28,900",40,27001,"$72,250","$301,699","$373,949","$72,250","$301,699","$373,949","$3,739,490","$3,739,490","Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance",**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-006-0000,436 S MAPLE AVE,OAK PARK,Oak Park,315,"8,500",40,27001,"$21,250","$88,259","$109,509","$21,250","$88,259","$109,509","$1,095,090","$1,095,090","Two or three story non-fireproof corridor apartments,or california type apartments, interior entrance",**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-007-0000,1113  WASHINGTON BLVD,OAK PARK,Oak Park,211,"3,375",40,27001,"$5,400","$32,737","$38,137","$5,400","$32,737","$38,137","$381,370","$381,370","Two to six apartments, over 62 years",Two Story,Multi Family,2,Frame,2,0,Full and Unfinished,Partial and Unfinished,No,1,None,127,"2,938",2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-016-0000,433  WISCONSIN AVE,OAK PARK,Oak Park,211,"8,500",40,27001,"$9,563","$35,509","$45,072","$9,562","$35,508","$45,070","$450,720","$450,700","Two to six apartments, over 62 years",Two Story,Multi Family,3,Frame,3,0,Full and Unfinished,Partial and Unfinished,Yes,0,2 car detached,127,"2,988",2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-021-0000,1116  MADISON ST,OAK PARK,Oak Park,212,"3,150",40,27001,"$5,040","$40,030","$45,070","$5,040","$40,030","$45,070","$450,700","$450,700","Two to six apartments, up to 62 years",Three Story,Multi Family,3,Masonry,2,2,Partial and Unfinished,None,Yes,0,None,109,"4,612",2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,Yes | $813.13,N/A,N/A
0,16-07-322-022-0000,1114  MADISON ST,OAK PARK,Oak Park,517,"3,150",40,27001,"$19,688","$22,605","$42,293","$19,687","$12,432","$32,119","$169,172","$128,476",One story store,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-023-0000,1112  MADISON ST,OAK PARK,Oak Park,212,"3,150",40,27001,"$5,040","$33,910","$38,950","$5,040","$33,910","$38,950","$389,500","$389,500","Two to six apartments, up to 62 years",Two Story,Multi Family,4,Masonry,4,1,Partial and Unfinished,Full and Unfinished,No,0,2.5 car detached,91,"3,860",2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-024-0000,1110  MADISON ST,OAK PARK,Oak Park,0,0,40,27001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Exempt,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-025-0000,1108  MADISON ST,OAK PARK,Oak Park,0,0,40,27001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Exempt,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-026-0000,1106  MADISON ST,OAK PARK,Oak Park,0,0,40,27001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Exempt,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-027-0000,1100  MADISON ST,OAK PARK,Oak Park,517,"3,150",40,27001,"$19,688","$29,365","$49,053","$19,688","$29,365","$49,053","$196,212","$196,212",One story store,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-028-0000,1100  MADISON ST,OAK PARK,Oak Park,517,"3,654",40,27001,"$22,838","$29,365","$52,203","$22,838","$29,365","$52,203","$208,812","$208,812",One story store,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-029-0000,427  WISCONSIN AVE,OAK PARK,Oak Park,211,"6,800",40,27001,"$7,650","$25,724","$33,374","$7,650","$25,723","$33,373","$333,740","$333,730","Two to six apartments, over 62 years",Two Story,Multi Family,2,Frame,2,1,Full and Unfinished,Full and Living Area,No,0,None,137,"3,075",2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A
0,16-07-322-032-0000,414 S MAPLE AVE,OAK PARK,Oak Park,211,"11,560",40,27001,"$13,005","$13,047","$26,052","$13,005","$13,047","$26,052","$260,520","$260,520","Two to six apartments, over 62 years",Two Story,Multi Family,3,Frame,3,0,Full and Unfinished,Full and Apartment,No,1,2 car detached,122,"2,835",2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-033-0000,420 S MAPLE AVE,OAK PARK,Oak Park,314,"9,690",40,27001,"$24,225","$21,489","$45,714","$24,225","$21,489","$45,714","$457,140","$457,140","Two or three story non-frprf. crt. and corridor apts or california type apts, no corridors, ex. entrance",**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-038-1001,440 G1 S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,$536,"$6,995","$7,531",$536,"$6,995","$7,531","$75,310","$75,310",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-038-1002,438 1N S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,149","$14,608","$15,757","$1,148","$14,607","$15,755","$157,570","$157,550",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56",Yes | $263.14,2018,"Yes | $1,268.60","Yes | $1,014.88",Yes | $253.72,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-038-1003,440 1S S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,149","$14,988","$16,137","$1,149","$14,988","$16,137","$161,370","$161,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-038-1004,438 2N S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,149","$14,988","$16,137","$1,149","$14,988","$16,137","$161,370","$161,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,Yes,Yes,2019,"Yes | $1,315.70","Yes | $1,052.56",Yes | $263.14,2018,"Yes | $1,268.60","Yes | $1,014.88",Yes | $253.72,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-038-1005,440 2S S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,149","$14,988","$16,137","$1,149","$14,988","$16,137","$161,370","$161,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-038-1006,438 3N S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,379","$17,985","$19,364","$1,379","$17,985","$19,364","$193,640","$193,640",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,,,,
0,16-07-322-038-1007,440 3S S MAPLE AVE,OAK PARK,Oak Park,299,"6,382",40,27001,"$1,149","$14,988","$16,137","$1,149","$14,988","$16,137","$161,370","$161,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,114,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A
0,16-07-322-039-1001,1103 3GE  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$901,"$5,354","$6,255",$900,"$5,353","$6,253","$62,550","$62,530",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-039-1002,1103 3GW  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$901,"$5,354","$6,255",$900,"$5,353","$6,253","$62,550","$62,530",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-039-1003,1103 31E  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$970,"$4,967","$5,937",$970,"$4,967","$5,937","$59,370","$59,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,Yes,N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-039-1004,1103 31W  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$970,"$5,767","$6,737",$970,"$5,767","$6,737","$67,370","$67,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-039-1005,1103 32E  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$991,"$5,075","$6,066",$990,"$5,074","$6,064","$60,660","$60,640",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $365.12,"Yes | $3,116.26",,,,
0,16-07-322-039-1006,1103 32W  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$991,"$5,891","$6,882",$990,"$5,890","$6,880","$68,820","$68,800",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2020,Yes,Yes,Yes,2019,Yes | $971.24,Yes,"Yes | $3,020.32",2018,Yes | $936.48,Yes,"Yes | $3,869.23",2017,Yes | $899.93,Yes,"Yes | $3,800.54"
0,16-07-322-039-1007,1107 3GW  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$901,"$4,611","$5,512",$900,"$4,611","$5,511","$55,120","$55,110",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-07-322-039-1008,1107 71E  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$970,"$5,767","$6,737",$970,"$5,767","$6,737","$67,370","$67,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-039-1009,1107 71W  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$970,"$5,767","$6,737",$970,"$5,767","$6,737","$67,370","$67,370",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-039-1010,1107 72W  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$991,"$5,891","$6,882",$990,"$5,890","$6,880","$68,820","$68,800",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-039-1011,1107 72W  WASHINGTON BLVD,OAK PARK,Oak Park,299,"9,375",40,27001,$991,"$5,891","$6,882",$990,"$5,890","$6,880","$68,820","$68,800",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,51,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-040-1001,430 1N S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,064","$13,032","$14,096","$1,064","$13,032","$14,096","$140,960","$140,960",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-040-1002,430 2N S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,094","$13,396","$14,490","$1,094","$13,396","$14,490","$144,900","$144,900",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-040-1003,428 3N S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,094","$13,396","$14,490","$1,094","$13,396","$14,490","$144,900","$144,900",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-040-1004,430 GMS S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$591,"$7,233","$7,824",$590,"$7,232","$7,822","$78,240","$78,220",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-040-1005,430 1S S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,064","$13,032","$14,096","$1,064","$13,032","$14,096","$140,960","$140,960",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-040-1006,430 2S S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,094","$13,396","$14,490","$1,094","$13,396","$14,490","$144,900","$144,900",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-040-1007,430 3S S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,"$1,094","$13,396","$14,490","$1,094","$13,396","$14,490","$144,900","$144,900",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-040-1008,428 P1 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$74,$912,$986,$74,$911,$985,"$9,860","$9,850",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,,,,,,,,,,,,,,,,
0,16-07-322-040-1009,428 P2 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$74,$912,$986,$74,$911,$985,"$9,860","$9,850",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,,,,,,,,,,,,,,,,
0,16-07-322-040-1010,428 P3 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$74,$912,$986,$74,$911,$985,"$9,860","$9,850",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,,,,,,,,,,,,,,,,
0,16-07-322-040-1011,428 P4 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$74,$912,$986,$74,$911,$985,"$9,860","$9,850",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,,,,,,,,,,,,,,,,
0,16-07-322-040-1012,428 P5 S MAPLE AVE,OAK PARK,Oak Park,299,"8,500",40,27001,$45,$548,$593,$44,$547,$591,"$5,930","$5,910",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,,,,,,,,,,,,,,,,
0,16-07-322-041-0000,1122  MADISON ST,OAK PARK,Oak Park,522,"13,022",40,27001,"$81,388","$2,690","$84,078","$81,388","$2,690","$84,078","$336,312","$336,312",One story non-fireproof public garage,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
