,taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
0,$260.81,$659.96,$636.33,$611.50,"$1,581.68","1,132.50",226.50,906.00,"2,525.81",260.81,"$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1016
0,"$1,393.31","$2,423.39","$2,330.42","$2,300.93","$2,466.42","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1017
0,"$2,525.81","$3,739.09","$3,599.02","$3,520.03","$3,471.48",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1018
0,"$4,677.00","$6,924.27","$6,664.72","$6,518.65","$6,428.08",0.00,0.00,0.00,"4,677.00","4,677.00","$128,130","12,813","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1019
0,"$1,393.31","$2,423.39","$2,330.42","$2,300.93","$2,466.42","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1020
0,"$1,393.31","$2,423.39","$2,330.42","$2,300.93","$2,466.42","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1021
0,"$2,525.81","$2,392.86","$2,303.14","$2,816.12","$2,901.46",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1022
0,"$2,525.81","$3,739.09","$3,599.02","$3,520.03","$3,471.48",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1023
0,"$2,525.81","$2,991.38","$2,879.21","$2,816.12","$2,779.13",0.00,0.00,0.00,"2,525.81","2,525.81","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1024
0,"$1,393.31","$2,423.39","$2,330.42","$2,300.93","$2,466.42","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1025
0,"$1,393.31","$2,423.39","$2,330.42","$2,300.93","$2,466.42","1,132.50",0.00,0.00,"2,525.81","1,393.31","$69,200","6,920","19,860",,2-99,27001,109 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-032-1026
0,"$17,493.95","$16,406.38","$15,787.47","$15,480.50","$15,131.90",0.00,0.00,0.00,"17,493.95","17,493.95","$479,220","47,922","7,000","2,219",2-06,27001,114 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-033-0000
0,"$15,609.02","$16,222.84","$17,649.40","$17,284.28","$14,670.43","1,132.50",0.00,0.00,"16,741.52","15,609.02","$458,620","45,862","8,750","1,856",2-05,27001,123 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-404-034-0000
0,"$1,701.02","$2,368.52","$3,546.12","$3,468.46","$2,976.70","1,132.50",0.00,0.00,"2,833.52","1,701.02","$77,630","7,763","7,800",,2-99,27001,104 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1001
0,"$2,635.55","$3,795.40","$3,650.90","$3,592.57","$3,905.66","1,132.50",0.00,906.00,"4,674.05","2,635.55","$128,050","12,805","7,800",,2-99,27001,104 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1002
0,"$4,674.05","$4,761.78","$4,581.17","$4,502.38","$3,905.66",0.00,0.00,0.00,"4,674.05","4,674.05","$128,050","12,805","7,800",,2-99,27001,104 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1003
0,"$3,541.55","$4,761.78","$4,581.17","$4,502.38","$3,905.66","1,132.50",0.00,0.00,"4,674.05","3,541.55","$128,050","12,805","7,800",,2-99,27001,104 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1004
0,"$3,494.90","$6,016.56","$4,522.43","$4,444.96","$3,856.13","1,132.50",0.00,0.00,"4,627.40","3,494.90","$126,770","12,677","7,800",,2-99,27001,106 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1005
0,"$3,494.90","$4,700.86","$4,522.43","$4,444.96","$4,861.19","1,132.50",0.00,0.00,"4,627.40","3,494.90","$126,770","12,677","7,800",,2-99,27001,106 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1006
0,"$3,494.90","$4,700.86","$4,522.43","$4,444.96","$4,861.19","1,132.50",0.00,0.00,"4,627.40","3,494.90","$126,770","12,677","7,800",,2-99,27001,106 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1007
0,"$3,243.71","$4,374.31","$4,208.20","$4,137.63","$3,592.52","1,132.50",0.00,0.00,"4,376.21","3,243.71","$119,880","11,988","7,800",,2-99,27001,108 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1008
0,"$3,243.71","$4,374.31","$4,208.20","$4,137.63","$3,592.52","1,132.50",0.00,0.00,"4,376.21","3,243.71","$119,880","11,988","7,800",,2-99,27001,108 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1009
0,"$3,243.71","$4,374.31","$4,208.20","$4,137.63","$3,592.52","1,132.50",0.00,0.00,"4,376.21","3,243.71","$119,880","11,988","7,800",,2-99,27001,108 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1010
0,"$3,037.93","$3,950.52","$3,802.50","$3,719.11","$3,191.64",0.00,0.00,0.00,"3,037.93","3,037.93","$83,240","8,324","7,800",,2-99,27001,110 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1011
0,"$1,905.43","$2,634.82","$2,533.90","$2,500.01","$2,186.58","1,132.50",0.00,0.00,"3,037.93","1,905.43","$83,240","8,324","7,800",,2-99,27001,110 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1012
0,"$1,905.43","$2,634.82","$2,533.90","$2,500.01","$2,186.58","1,132.50",0.00,0.00,"3,037.93","1,905.43","$83,240","8,324","7,800",,2-99,27001,110 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1013
0,"$1,360.93","$1,769.88","$1,703.48","$1,666.14","$1,430.06",0.00,0.00,0.00,"1,360.93","1,360.93","$37,300","3,730","7,800",,2-99,27001,110 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1014
0,"$1,360.93","$1,769.88","$1,703.48","$1,666.14","$1,430.06",0.00,0.00,0.00,"1,360.93","1,360.93","$37,300","3,730","7,800",,2-99,27001,104 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1015
0,"$1,360.93","$1,769.88","$1,703.48","$1,666.14","$1,430.06",0.00,0.00,0.00,"1,360.93","1,360.93","$37,300","3,730","7,800",,2-99,27001,108 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1016
0,"$1,360.93","$1,769.88","$1,703.48","$1,666.14","$1,430.06",0.00,0.00,0.00,"1,360.93","1,360.93","$37,300","3,730","7,800",,2-99,27001,106 S SCOVILLE AVE,OAK PARK,60302,OAK PARK,16-07-404-035-1017
0,"$9,900.99","$9,659.47","$10,006.72","$9,830.82","$9,233.63","1,132.50",0.00,906.00,"12,165.99","9,900.99","$333,280","33,328","4,770","1,302",2-05,27001,110 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-004-0000
0,"$37,983.48","$36,545.67","$35,175.87","$34,404.83","$35,836.71",0.00,0.00,0.00,"37,983.48","37,983.48",,"104,051","7,500",,3-18,27001,419  SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-405-005-0000
0,"$20,156.57","$21,158.30","$20,365.22",$0.00,$0.00,0.00,0.00,0.00,"20,156.57","20,156.57","$552,170","55,217","7,520","8,254",2-12,27001,411  SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-405-007-0000
0,"$56,841.99","$48,759.84","$46,932.11","$27,187.64","$30,296.53",0.00,0.00,0.00,"56,841.99","56,841.99",,"155,710","15,600",,3-18,27001,401  SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-405-008-0000
0,"$16,737.78","$17,349.61","$16,697.06","$17,416.18","$16,818.53","1,132.50",0.00,0.00,"17,870.28","16,737.78","$489,530","48,953","7,630","2,415",2-06,27001,112 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-009-0000
0,"$13,085.47","$13,475.53","$12,968.14","$12,705.58","$11,235.28","1,132.50",0.00,0.00,"14,217.97","13,085.47","$389,490","38,949","5,250","1,620",2-05,27001,116 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-010-0000
0,"$13,056.25","$13,071.48","$12,579.31","$12,325.22","$13,913.33","1,132.50",0.00,0.00,"14,188.75","13,056.25","$388,690","38,869","7,638","1,812",2-05,27001,118 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-011-0000
0,"$16,885.24","$16,066.28","$17,142.08","$16,787.98","$15,799.83","1,132.50",0.00,0.00,"18,017.74","16,885.24","$493,580","49,358","8,750","2,286",2-06,27001,122 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-012-0000
0,"$19,342.08","$21,368.15","$20,564.89","$20,135.87","$19,344.96","1,132.50",0.00,0.00,"20,474.58","19,342.08","$560,880","56,088","8,750","2,353",2-06,27001,126 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-013-0000
0,"$22,051.47","$23,201.97","$22,330.02","$21,862.24","$23,924.30","1,132.50",0.00,0.00,"23,183.97","22,051.47","$635,100","63,510","8,750","2,816",2-06,27001,130 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-014-0000
0,"$17,944.24","$18,455.32","$17,761.29","$19,581.79","$19,065.13","1,132.50",0.00,0.00,"19,076.74","17,944.24","$522,590","52,259","8,750","2,184",2-05,27001,134 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-015-0000
0,"$18,253.52","$18,182.58","$18,798.24","$18,407.92","$16,277.95","1,132.50",0.00,0.00,"19,386.02","18,253.52","$531,060","53,106","8,750","2,346",2-06,27001,138 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-016-0000
0,"$23,593.94","$18,440.19","$17,780.06","$17,086.30","$20,984.93",0.00,0.00,0.00,"23,593.94","23,593.94","$646,320","64,632","8,750","3,607",2-06,27001,424  PLEASANT ST,OAK PARK,60302,OAK PARK,16-07-405-017-0000
0,"$19,197.46","$20,486.50","$19,716.33","$21,023.26","$21,695.80","1,132.50",0.00,0.00,"20,329.96","19,197.46","$556,920","55,692","10,341","2,880",2-06,27001,115 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-018-0000
0,"$18,409.69","$19,018.18","$18,303.11","$19,110.73","$17,842.40","1,132.50",0.00,0.00,"19,542.19","18,409.69","$535,330","53,533","5,832","2,706",2-06,27001,119 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-021-0000
0,"$11,356.60","$11,642.50","$12,045.99","$11,821.00","$11,690.57","1,132.50",0.00,906.00,"13,395.10","11,356.60","$366,940","36,694","5,832","1,632",2-05,27001,121 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-022-0000
0,"$17,825.66","$17,512.10","$19,702.12","$20,284.60","$17,997.75","1,132.50",0.00,906.00,"19,864.16","17,825.66","$544,170","54,417","7,642","2,488",2-06,27001,123 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-023-0000
0,"$13,755.68","$13,979.58","$13,453.38","$14,620.91","$13,333.84","1,132.50",0.00,0.00,"14,888.18","13,755.68","$407,850","40,785","7,000","1,634",2-05,27001,125 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-024-0000
0,"$20,005.50","$23,767.59","$22,876.66","$22,375.24","$21,389.54",0.00,0.00,0.00,"20,005.50","20,005.50","$548,040","54,804","6,562","2,863",2-06,27001,127 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-025-0000
0,"$15,221.48","$18,345.46","$17,653.71","$18,281.14","$16,827.72","1,132.50",0.00,906.00,"17,259.98","15,221.48","$472,830","47,283","6,562","2,260",2-06,27001,129 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-026-0000
0,"$15,305.28","$15,899.05","$15,300.84","$16,590.85","$14,491.39","1,132.50",0.00,0.00,"16,437.78","15,305.28","$450,290","45,029","5,184","2,242",2-06,27001,412  PLEASANT ST,OAK PARK,60302,OAK PARK,16-07-405-027-0000
0,"$21,429.84","$22,611.88","$21,762.07","$22,360.00","$21,014.80",0.00,0.00,0.00,"21,429.84","21,429.84","$587,060","58,706","7,941","3,209",2-06,27001,131 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-028-0000
0,"$7,402.13","$7,736.05","$7,446.05",$0.00,$0.00,0.00,0.00,0.00,"7,402.13","7,402.13","$202,790","20,279","3,542","8,254",2-12,27001,415  SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-405-029-0000
0,"$3,856.05","$2,466.94","$2,374.44","$2,322.39","$2,523.99",0.00,0.00,0.00,"3,856.05","3,856.05",,"10,565","4,125",,3-90,27001,419  SOUTH BLVD,OAK PARK,60302,OAK PARK,16-07-405-030-0000
0,"$18,194.07","$22,409.53","$21,569.50","$21,096.65","$19,840.46",0.00,0.00,0.00,"18,194.07","18,194.07","$498,410","49,841","10,263","2,134",2-05,27001,117 S RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-07-405-031-0000
0,"$11,769.17","$13,102.14","$12,608.87","$12,354.12","$11,840.18","1,132.50",0.00,906.00,"13,807.67","11,769.17","$378,250","37,825","1,339","2,067",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-032-0000
0,"$11,666.56","$11,580.92","$11,144.65","$10,922.04","$10,485.07","1,132.50",0.00,0.00,"12,799.06","11,666.56","$350,630","35,063",928,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-033-0000
0,"$7,024.44","$8,160.76","$7,868.62","$7,561.59","$9,767.17","1,132.50","3,736.12",906.00,"12,799.06","7,024.44","$350,630","35,063",928,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-034-0000
0,"$11,435.76","$11,580.92","$11,144.65","$10,922.04","$10,485.07","1,132.50",0.00,0.00,"12,568.26","11,435.76","$344,300","34,430",928,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-035-0000
0,"$12,341.53","$13,103.32","$12,609.88","$12,355.21","$11,844.20","1,132.50",0.00,0.00,"13,474.03","12,341.53","$369,100","36,910","1,243","2,067",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-036-0000
0,"$12,780.26","$13,099.90","$12,606.59","$12,351.92","$11,835.30","1,132.50",0.00,0.00,"13,912.76","12,780.26","$381,120","38,112","1,438","2,067",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-037-0000
0,"$11,764.75","$11,592.50","$11,155.69","$10,932.89","$10,501.58","1,132.50",0.00,0.00,"12,897.25","11,764.75","$353,310","35,331",997,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-038-0000
0,"$11,764.75","$11,592.50","$11,155.69","$10,932.89","$10,501.58","1,132.50",0.00,0.00,"12,897.25","11,764.75","$353,310","35,331",997,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-039-0000
0,"$12,897.25","$12,908.20","$12,424.29","$10,932.89","$10,501.58",0.00,0.00,0.00,"12,897.25","12,897.25","$353,310","35,331",997,"1,866",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-040-0000
0,"$12,445.50","$13,097.14","$12,604.05","$12,349.48","$11,836.59","1,132.50",0.00,0.00,"13,578.00","12,445.50","$371,960","37,196","1,336","2,067",2-95,27001,100 S ELMWOOD AVE,OAK PARK,60302,OAK PARK,16-07-405-041-0000
0,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,200 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-001-0000
0,"$92,644.62","$79,928.64","$76,932.60","$75,246.27","$64,397.35",0.00,0.00,0.00,"92,644.62","92,644.62",,"253,786","9,200",,3-15,27001,212 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-002-0000
0,"$15,489.66","$18,930.29","$18,218.49","$17,840.92","$14,073.57","1,132.50",0.00,0.00,"16,622.16","15,489.66","$455,340","45,534","9,200","3,456",2-11,27001,232 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-007-0000
0,"$25,687.82","$26,104.54","$25,126.02","$28,135.73","$25,446.25",0.00,0.00,0.00,"25,687.82","25,687.82","$703,690","70,369","9,200","5,928",2-11,27001,236 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-008-0000
0,"$34,709.54","$35,708.10","$33,907.65","$33,186.10","$29,224.70","1,132.50",0.00,0.00,"35,842.04","34,709.54","$986,470","98,647","17,500","5,733",2-09,27001,201 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-010-0000
0,"$13,973.24","$16,608.08","$15,983.22","$17,154.32","$14,490.09","1,132.50",0.00,0.00,"15,105.74","13,973.24","$413,800","41,380","7,875","1,862",2-05,27001,209 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-011-0000
0,"$21,071.41","$23,302.36","$22,424.79","$21,972.33","$23,444.32","1,132.50",0.00,906.00,"23,109.91","21,071.41","$633,060","63,306","14,000","2,982",2-06,27001,213 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-012-0000
0,"$1,513.13","$1,464.77","$1,409.92","$1,379.05","$1,273.12",0.00,0.00,0.00,"1,513.13","1,513.13","$41,460","4,146","4,364",,2-41,27001,215 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-013-0000
0,"$22,095.98","$23,929.43","$23,657.23","$23,160.34","$20,275.51","1,132.50",0.00,0.00,"23,228.48","22,095.98","$636,320","63,632","8,735","3,667",2-06,27001,217 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-014-0000
0,"$16,725.89","$17,492.76","$16,834.83","$16,487.47","$15,808.73",0.00,0.00,0.00,"16,725.89","16,725.89","$458,190","45,819","8,750","2,064",2-05,27001,221 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-015-0000
0,"$18,981.38","$17,778.53","$17,880.28","$18,510.45","$16,058.56","1,132.50",0.00,0.00,"20,113.88","18,981.38","$551,000","55,100","5,832","2,715",2-06,27001,227 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-017-0000
0,"$13,018.31","$12,503.89","$12,031.15","$12,781.78","$14,596.77","1,132.50",0.00,0.00,"14,150.81","13,018.31","$387,640","38,764","5,832","1,876",2-05,27001,229 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-018-0000
0,"$19,246.84","$20,268.49","$20,889.15","$19,477.68","$18,497.84","1,132.50",0.00,0.00,"20,379.34","19,246.84","$558,270","55,827","8,750","2,856",2-06,27001,233 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-019-0000
0,$862.29,$822.18,$791.35,$774.01,$721.63,0.00,0.00,0.00,862.29,862.29,"$23,630","2,363","1,750",,2-41,27001,235 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-020-0000
0,"$15,321.03","$15,976.55","$15,375.43","$15,060.15","$16,857.15","1,132.50",0.00,0.00,"16,453.53","15,321.03","$450,730","45,073","10,500","2,564",2-06,27001,237 S EUCLID AVE,OAK PARK,60302,OAK PARK,16-07-406-021-0000
0,"$4,929.55","$4,706.79","$4,526.36","$4,466.17","$3,891.74","1,132.50",0.00,906.00,"6,968.05","4,929.55","$190,900","19,090","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1001
0,"$6,114.48","$6,042.09","$5,813.36","$5,707.70","$4,834.20","1,132.50",0.00,0.00,"7,246.98","6,114.48","$198,540","19,854","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1002
0,"$5,835.55","$5,759.35","$5,541.24","$5,441.45","$4,609.64","1,132.50",0.00,0.00,"6,968.05","5,835.55","$190,900","19,090","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1003
0,"$6,968.05","$7,075.05","$6,809.84","$6,660.55","$5,614.70",0.00,0.00,0.00,"6,968.05","6,968.05","$190,900","19,090","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1004
0,$359.23,$417.34,$402.40,$386.70,"$1,316.92","1,132.50","4,286.29",906.00,"6,684.02",359.23,"$183,100","18,310","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1005
0,"$4,645.52","$4,417.86","$4,248.29","$4,194.19","$3,662.30","1,132.50",0.00,906.00,"6,684.02","4,645.52","$183,100","18,310","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1006
0,"$5,208.48","$4,989.53","$4,798.48","$4,732.42","$4,116.30","1,132.50",0.00,906.00,"7,246.98","5,208.48","$198,540","19,854","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1007
0,"$2,267.04","$4,706.79","$2,539.48","$2,440.39","$3,891.74","1,132.50","2,662.51",906.00,"6,968.05","2,267.04","$190,900","19,090","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1008
0,"$4,929.55","$4,443.65","$4,526.36","$4,466.17","$3,891.74","1,132.50",0.00,906.00,"6,968.05","4,929.55","$190,900","19,090","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1009
0,"$5,551.52","$5,470.42","$5,263.17","$5,169.47","$4,380.20","1,132.50",0.00,0.00,"6,684.02","5,551.52","$183,100","18,310","18,400",,2-99,27001,224 S OAK PARK AVE,OAK PARK,60302,OAK PARK,16-07-406-022-1010
