taxbill2020,taxbill2019,taxbill2018,taxbill2017,taxbill2016,homeownerexemption,seniorfreezeexemption,seniorcitizenexemption,taxbeforeexemptions,taxafterexemptions,estimatedvalue,assessedvalue,lotsize,buildingsize,class,taxcode,address,city,zip,township,pin
"$21,609.01","$21,824.31","$21,003.96","$20,565.24","$20,171.55","1,132.50",0.00,0.0,"22,741.51","21,609.01","$622,980","62,298","5,644","3,144",2-06,27001,1200  EDMER AVE,OAK PARK,60302,OAK PARK,16-05-100-023-0000
"$18,100.29","$14,603.22","$15,435.06","$15,096.72","$16,020.08",0.00,0.00,0.0,"18,100.29","18,100.29","$495,830","49,583","6,000","2,982",2-04,27001,1235 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-024-0000
"$14,688.07","$14,812.55","$14,255.00","$13,964.30","$13,494.37","1,132.50",0.00,0.0,"15,820.57","14,688.07","$433,380","43,338","6,000","2,292",2-04,27001,1231 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-025-0000
"$15,375.16","$19,889.17","$19,143.68","$18,724.03","$16,455.99",0.00,0.00,0.0,"15,375.16","15,375.16","$421,190","42,119","6,000","2,167",2-05,27001,1227 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-026-0000
"$16,026.69","$16,059.57","$15,453.58","$17,251.00","$15,945.56","1,132.50",0.00,906.0,"18,065.19","16,026.69","$494,870","49,487","6,000","2,246",2-06,27001,1225 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-027-0000
"$10,798.84","$13,451.32","$12,944.92","$13,723.04","$12,254.41","1,132.50",0.00,0.0,"11,931.34","10,798.84","$326,850","32,685","6,000","1,490",2-05,27001,1221 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-028-0000
"$18,163.26","$17,117.91","$16,474.04","$16,134.67","$18,267.11","1,132.50",0.00,0.0,"19,295.76","18,163.26","$528,590","52,859","6,000","2,417",2-06,27001,1217 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-029-0000
"$12,647.42","$15,413.16","$14,831.33","$15,206.32","$14,221.02","1,132.50",0.00,906.0,"14,685.92","12,647.42","$402,310","40,231","6,000","2,088",2-05,27001,1213 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-030-0000
"$20,904.59","$19,582.75","$19,859.55","$19,445.99","$18,122.09",0.00,0.00,0.0,"20,904.59","20,904.59","$572,660","57,266","6,366","2,444",2-06,27001,1201 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-034-0000
"$15,083.43","$18,303.36","$17,615.15","$17,250.75","$16,502.94","1,132.50",0.00,0.0,"16,215.93","15,083.43","$444,220","44,422","9,000","2,132",2-05,27001,1211 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-035-0000
"$21,148.64","$25,507.74","$24,549.44","$24,032.97","$23,824.95","1,132.50",0.00,0.0,"22,281.14","21,148.64","$610,370","61,037","9,000","3,394",2-06,27001,1205 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-100-036-0000
"$80,761.07","$73,273.31","$70,526.68","$68,980.82","$83,413.09",0.00,0.00,0.0,"80,761.07","80,761.07",,"221,235","20,887",,5-17,27001,6323  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-038-0000
"$136,818.23","$81,681.95","$78,620.09","$76,896.93","$85,824.37",0.00,0.00,0.0,"136,818.23","136,818.23",,"374,794","25,137",,5-17,27001,6315  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-100-039-0000
"$49,984.81","$35,230.24","$33,909.55","$33,166.35","$34,889.22",0.00,0.00,0.0,"49,984.81","49,984.81",,"136,927","13,500",,5-22,27001,6249  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-001-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6211  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-002-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-003-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-004-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6205  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-005-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6235  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-006-0000
$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,0,0,,0-00,27001,6201  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-101-007-0000
"$12,428.39","$15,458.95","$14,877.25","$14,572.88","$12,645.95","1,132.50",0.00,0.0,"13,560.89","12,428.39","$371,490","37,149","5,000","2,052",2-05,27001,1230 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-008-0000
"$10,081.18","$8,831.50","$8,496.45","$10,328.22","$8,602.74","1,132.50",0.00,906.0,"12,119.68","10,081.18","$332,010","33,201","5,000","1,442",2-03,27001,1228 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-009-0000
"$15,889.43","$17,366.98","$16,713.68","$16,369.10","$13,623.59","1,132.50",0.00,0.0,"17,021.93","15,889.43","$466,300","46,630","5,000","2,510",2-04,27001,1224 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-010-0000
"$12,384.91","$10,376.66","$9,985.53","$10,597.39","$9,837.81","1,132.50",0.00,0.0,"13,517.41","12,384.91","$370,290","37,029","5,000","1,623",2-03,27001,1222 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-011-0000
"$13,357.04","$12,955.17","$12,467.42","$13,144.82","$11,726.75","1,132.50",0.00,0.0,"14,489.54","13,357.04","$396,930","39,693","5,000","2,110",2-04,27001,1220 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-012-0000
"$10,855.35","$10,906.50","$10,495.51","$11,023.59","$9,528.69","1,132.50",0.00,0.0,"11,987.85","10,855.35","$328,400","32,840","5,000","1,676",2-03,27001,1216 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-013-0000
"$15,641.18","$13,917.08","$15,860.29","$15,534.38","$13,374.05","1,132.50",0.00,0.0,"16,773.68","15,641.18","$471,260","47,126","5,000","2,313",2-04,27001,1212 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-014-0000
"$11,968.83","$10,582.70","$10,183.81","$9,982.23","$10,382.84","1,132.50",0.00,0.0,"13,101.33","11,968.83","$358,900","35,890","5,000","1,461",2-03,27001,1210 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-015-0000
"$12,822.96","$14,677.03","$14,124.72","$13,836.79","$11,593.08","1,132.50",0.00,0.0,"13,955.46","12,822.96","$382,290","38,229","5,000","1,957",2-04,27001,1206 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-016-0000
"$12,655.46","$11,488.69","$11,054.07","$10,850.84","$10,287.94","1,132.50",0.00,906.0,"14,693.96","12,655.46","$402,520","40,252","5,000","1,988",2-04,27001,1204 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-017-0000
"$12,090.34","$12,198.51","$11,737.21","$11,519.03","$12,742.29","1,132.50",0.00,906.0,"14,128.84","12,090.34","$387,040","38,704","5,305","1,860",2-05,27001,1200 N RIDGELAND AVE,OAK PARK,60302,OAK PARK,16-05-101-018-0000
"$12,463.50","$10,063.79","$7,261.72","$12,363.87","$8,178.17","1,132.50",0.00,906.0,"14,502.00","12,463.50","$397,260","39,726","5,000","2,203",2-04,27001,1231 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-019-0000
"$13,498.72","$16,052.86","$15,448.88","$15,131.96","$12,910.00","1,132.50",0.00,0.0,"14,631.22","13,498.72","$407,690","40,769","5,000","2,269",2-04,27001,1227 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-020-0000
"$12,928.51","$10,156.28","$11,017.92","$11,278.87","$10,362.03","1,132.50",0.00,906.0,"14,967.01","12,928.51","$410,010","41,001","5,000","2,265",2-04,27001,1225 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-021-0000
"$5,555.59","$6,454.30","$5,969.52","$5,736.60","$7,617.78","1,132.50","4,356.95",906.0,"11,951.05","5,555.59","$327,380","32,738","5,000","1,131",2-03,27001,1223 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-022-0000
"$11,481.85","$11,335.68","$10,906.66","$10,706.75","$9,251.15","1,132.50",0.00,906.0,"13,520.35","11,481.85","$370,370","37,037","5,000","2,153",2-04,27001,1221 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-023-0000
"$11,927.15","$12,518.62","$13,643.16","$13,365.85","$11,607.15","1,132.50",0.00,0.0,"13,059.65","11,927.15","$357,760","35,776","5,000","2,010",2-04,27001,1217 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-024-0000
"$11,434.17","$10,985.96","$10,825.22","$12,598.67","$10,444.01","1,132.50",0.00,0.0,"12,793.17","11,434.17","$350,450","35,045","5,000","2,008",2-04,27001,1213 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-025-0000
"$10,980.27","$11,804.99","$11,360.31","$11,132.94","$10,995.79","1,132.50",0.00,906.0,"13,018.77","10,980.27","$356,630","35,663","5,000","1,536",2-03,27001,1211 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-026-0000
"$13,261.80","$11,967.74","$11,516.86","$11,998.38","$10,950.27","1,132.50",0.00,0.0,"14,394.30","13,261.80","$394,320","39,432","5,000","2,019",2-04,27001,1207 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-027-0000
"$10,864.19","$13,251.60","$12,750.83","$12,510.40","$10,900.16","1,132.50",0.00,906.0,"12,902.69","10,864.19","$353,450","35,345","5,000","1,622",2-03,27001,1205 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-101-028-0000
"$10,813.00","$10,062.87","$9,683.35","$9,492.89","$8,282.27","1,132.50",0.00,0.0,"11,945.50","10,813.00","$327,250","32,725","4,493","1,178",2-03,27001,1230 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-008-0000
"$12,362.71","$11,858.80","$11,411.95","$11,183.54","$10,619.03","1,132.50",0.00,0.0,"13,495.21","12,362.71","$369,680","36,968","4,624","1,795",2-03,27001,1228 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-009-0000
"$11,001.78","$9,070.30","$8,728.09","$10,268.36","$8,969.73","1,132.50",0.00,0.0,"12,134.28","11,001.78","$332,410","33,241","4,624","1,200",2-05,27001,1226 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-010-0000
"$12,438.25","$11,667.23","$12,095.21","$11,851.72","$10,433.96","1,132.50",0.00,0.0,"13,570.75","12,438.25","$371,750","37,175","4,624","1,689",2-03,27001,1222 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-011-0000
"$12,323.30","$11,195.03","$10,773.20","$11,673.00","$10,693.12","1,132.50",0.00,0.0,"13,455.80","12,323.30","$368,610","36,861","4,624","1,836",2-05,27001,1220 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-012-0000
"$13,067.58","$14,075.49","$13,545.73","$13,270.51","$11,993.52","1,132.50",0.00,0.0,"14,200.08","13,067.58","$389,000","38,900","4,624","2,389",2-06,27001,1218 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-013-0000
"$14,211.63","$14,005.36","$13,478.11","$15,228.39","$12,070.77","1,132.50",0.00,0.0,"15,344.13","14,211.63","$420,330","42,033","4,624","2,337",2-04,27001,1214 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-014-0000
"$11,041.54","$10,448.76","$10,054.92","$9,856.18","$9,754.97","1,132.50",0.00,0.0,"12,174.04","11,041.54","$333,500","33,350","4,574","1,298",2-05,27001,1212 N HARVEY AVE,OAK PARK,60302,OAK PARK,16-05-102-015-0000
"$10,108.13","$9,420.94","$9,570.45","$10,122.80","$8,378.04","1,132.50",0.00,0.0,"11,240.63","10,108.13","$307,930","30,793","4,490","1,340",2-03,27001,1233 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-016-0000
"$9,262.72","$9,011.62","$8,671.64","$8,503.22","$8,567.56","1,132.50",0.00,906.0,"11,301.22","9,262.72","$309,590","30,959","4,624","1,197",2-03,27001,1229 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-017-0000
"$10,068.72","$7,093.86","$6,586.19","$6,329.20","$8,315.72","1,132.50",0.00,906.0,"12,107.22","10,068.72","$331,670","33,167","4,624","1,344",2-03,27001,1227 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-018-0000
"$9,853.77","$8,993.07","$8,651.85","$10,213.01","$9,083.30","1,132.50",0.00,906.0,"11,892.27","9,853.77","$325,780","32,578","4,624","1,544",2-03,27001,1225 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-019-0000
"$9,629.19","$8,236.41","$7,923.68","$7,789.07","$8,726.65","1,132.50",0.00,906.0,"11,667.69","9,629.19","$319,620","31,962","4,624","1,426",2-03,27001,1221 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-020-0000
"$11,705.18","$9,585.14","$9,223.61","$10,088.42","$10,472.58","1,132.50",0.00,0.0,"12,837.68","11,705.18","$351,680","35,168","4,624","1,440",2-05,27001,1219 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-021-0000
"$12,533.60","$11,435.41","$11,868.01","$12,928.31","$9,905.58","1,132.50",0.00,906.0,"14,572.10","12,533.60","$399,180","39,918","4,624","2,150",2-04,27001,1215 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-022-0000
"$10,861.24","$10,236.28","$9,850.30","$9,656.13","$8,909.71","1,132.50",0.00,0.0,"11,993.74","10,861.24","$328,570","32,857","4,574","1,278",2-03,27001,1213 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-102-023-0000
"$11,637.34","$11,720.39","$11,277.09","$12,044.22","$11,940.40","1,132.50",0.00,906.0,"13,675.84","11,637.34","$374,640","37,464","4,765","2,037",2-04,27001,222  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-024-0000
"$12,267.35","$11,358.44","$10,930.51","$11,060.77","$9,286.90","1,132.50",0.00,0.0,"13,399.85","12,267.35","$367,080","36,708","4,375","1,892",2-04,27001,220  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-025-0000
"$9,204.28","$8,968.21","$8,629.91","$9,782.91","$8,368.42","1,132.50",0.00,0.0,"10,336.78","9,204.28","$283,170","28,317","4,375","1,335",2-03,27001,216  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-026-0000
"$6,986.17","$7,871.57","$7,572.15","$10,602.39","$9,667.53","1,132.50","2,770.10",906.0,"11,794.76","6,986.17","$323,120","32,312","4,375","1,552",2-03,27001,214  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-027-0000
"$11,636.55","$10,729.67","$15,334.46","$15,020.04","$9,771.77","1,132.50",0.00,0.0,"12,769.05","11,636.55","$349,800","34,980","4,375","1,647",2-03,27001,212  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-028-0000
"$14,045.72","$15,201.33","$13,362.92","$13,091.67","$11,374.98",0.00,0.00,0.0,"14,045.72","14,045.72","$384,770","38,477","4,375","1,897",2-04,27001,208  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-029-0000
"$13,811.29","$14,205.35","$13,668.91","$13,408.39","$10,881.64","1,132.50",0.00,906.0,"15,849.79","13,811.29","$434,200","43,420","4,375","2,631",2-04,27001,206  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-030-0000
"$13,430.43","$12,512.04","$12,869.19","$20,480.03","$13,704.14","1,132.50",0.00,0.0,"14,562.93","13,430.43","$398,940","39,894","5,000","2,052",2-04,27001,202  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-102-031-0000
"$119,984.30","$62,529.04","$60,186.57","$105,799.47","$108,788.84",0.00,0.00,0.0,"119,984.30","119,984.30",,"413,853","36,001",,5-30,27001,6201  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-102-032-0000
"$38,230.60","$29,808.37","$18,947.18","$21,749.35","$22,136.59",0.00,0.00,0.0,"38,230.60","38,230.60",,"104,727","6,250",,3-18,27001,6149  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-103-001-0000
"$50,376.88","$48,053.18","$46,251.89","$45,238.12","$47,090.22",0.00,0.00,0.0,"50,376.88","50,376.88",,"138,001","12,500",,5-17,27001,6147  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-103-002-0000
$0.00,"$4,781.12","$8,692.95","$8,524.19","$7,189.91","1,132.50",0.00,0.0,"12,337.23",0.00,"$337,960","33,796","4,528","1,236",2-05,27001,1230 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-008-0000
"$10,962.71","$11,958.53","$11,507.98","$12,618.54","$12,212.48","1,132.50",0.00,0.0,"12,095.21","10,962.71","$331,340","33,134","4,658","1,788",2-05,27001,1228 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-009-0000
"$13,099.06","$12,873.99","$13,037.66","$12,751.91","$10,017.86",0.00,0.00,0.0,"13,099.06","13,099.06","$358,830","35,883","4,658","1,958",2-04,27001,1226 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-010-0000
"$13,147.19","$13,970.37","$13,444.50","$11,332.75","$9,874.00","1,132.50",0.00,0.0,"14,279.69","13,147.19","$391,180","39,118","4,658","2,259",2-06,27001,1224 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-011-0000
"$12,699.63","$14,397.57","$13,853.87","$13,589.31","$11,564.65","1,132.50",0.00,906.0,"14,738.13","12,699.63","$403,730","40,373","4,658","2,196",2-04,27001,1220 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-012-0000
"$11,397.48","$11,445.93","$11,014.62","$12,659.01","$8,644.95","1,132.50",0.00,0.0,"12,529.98","11,397.48","$343,240","34,324","4,658","1,862",2-04,27001,1218 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-013-0000
"$9,562.04","$9,984.58","$9,608.12","$9,419.13","$8,916.61","1,132.50",0.00,0.0,"10,694.54","9,562.04","$349,180","34,918","4,658","1,546",2-03,27001,1216 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-014-0000
"$12,686.83","$11,428.70","$12,906.48","$12,645.24","$10,795.78","1,132.50",0.00,0.0,"13,819.33","12,686.83","$378,570","37,857","4,613","1,893",2-04,27001,1212 N LOMBARD AVE,OAK PARK,60302,OAK PARK,16-05-103-015-0000
"$11,941.42","$9,505.01","$11,527.90","$15,882.19","$9,876.87","1,132.50",0.00,0.0,"13,073.92","11,941.42","$358,150","35,815","4,528","2,048",2-05,27001,1231  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-016-0000
"$13,406.76","$13,134.76","$12,640.20","$12,686.44","$11,630.55","1,132.50",0.00,0.0,"14,539.26","13,406.76","$398,290","39,829","4,658","2,183",2-04,27001,1229  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-017-0000
"$12,677.43","$12,735.19","$6,426.85","$6,176.08","$8,135.39",0.00,0.00,0.0,"12,677.43","12,677.43","$358,960","35,896","4,658","1,396",2-03,27001,1227  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-018-0000
"$11,685.81","$10,202.86","$9,818.20","$11,258.27","$9,312.17","1,132.50",0.00,0.0,"12,818.31","11,685.81","$351,150","35,115","4,658","1,647",2-03,27001,1225  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-019-0000
"$13,433.83","$13,092.40","$13,224.90","$12,935.02","$10,235.53",0.00,0.00,0.0,"13,433.83","13,433.83","$368,000","36,800","4,658","2,009",2-04,27001,1221  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-020-0000
"$11,847.65","$12,569.41","$15,369.34","$12,838.10","$11,217.47",0.00,0.00,0.0,"11,847.65","11,847.65","$324,550","32,455","4,658","2,002",2-04,27001,1219  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-021-0000
"$13,095.44","$11,888.40","$11,442.77","$12,635.24","$11,730.77",0.00,0.00,0.0,"13,095.44","13,095.44","$358,740","35,874","4,658","1,672",2-03,27001,1215  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-022-0000
"$5,199.08","$6,040.12","$5,823.89","$5,596.64","$7,452.95","1,132.50","4,662.28",906.0,"11,899.86","5,199.08","$333,720","33,372","4,613","1,244",2-05,27001,1213  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-103-023-0000
"$13,441.76","$12,321.00","$11,856.97","$11,618.75","$11,861.57","1,132.50",0.00,0.0,"14,574.26","13,441.76","$399,260","39,926","4,902","2,210",2-06,27001,152  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-024-0000
"$11,612.54","$13,080.29","$12,587.81","$12,333.51","$10,520.39","1,132.50",0.00,0.0,"12,745.04","11,612.54","$349,140","34,914","4,375","1,299",2-03,27001,150  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-025-0000
"$9,845.28","$9,729.47","$9,362.52","$9,178.97","$10,078.17","1,132.50",0.00,0.0,"10,977.78","9,845.28","$300,730","30,073","4,375","1,425",2-03,27001,146  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-026-0000
"$10,544.48","$10,973.73","$9,293.76","$9,111.80","$8,205.02",0.00,0.00,0.0,"10,544.48","10,544.48","$288,870","28,887","4,375","1,197",2-03,27001,140  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-028-0000
"$9,829.53","$9,859.86","$9,488.11","$14,865.58","$11,671.62","1,132.50",0.00,0.0,"10,962.03","9,829.53","$387,270","38,727","4,375","1,185",2-03,27001,138  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-029-0000
"$10,185.25","$9,952.48","$8,414.12","$10,337.24","$9,117.90","1,132.50",0.00,906.0,"12,223.75","10,185.25","$334,870","33,487","4,375","1,831",2-04,27001,134  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-030-0000
"$14,067.80","$13,256.73","$18,498.73","$18,114.97","$12,725.21","1,132.50",0.00,0.0,"15,200.30","14,067.80","$416,400","41,640","5,000","2,285",2-06,27001,130  LE MOYNE PKY,OAK PARK,60302,OAK PARK,16-05-103-031-0000
"$82,611.57","$74,300.74","$71,515.68","$83,309.03","$85,527.73",0.00,0.00,0.0,"82,611.57","82,611.57",,"226,305","17,408",,5-23,27001,6129  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-103-032-0000
"$14,830.20","$13,628.28","$13,117.45","$12,641.46","$13,080.71",0.00,0.00,0.0,"14,830.20","14,830.20",,"40,626","3,125",,5-17,27001,6111  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-104-005-0000
"$14,830.20","$13,628.28","$13,117.45","$12,641.46","$13,080.71",0.00,0.00,0.0,"14,830.20","14,830.20",,"40,626","3,125",,5-17,27001,6109  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-104-006-0000
"$93,087.76","$51,985.68","$50,037.01","$41,763.56","$48,757.61",0.00,0.00,0.0,"93,087.76","93,087.76",,"255,001","14,283",,3-18,27001,6101  NORTH AVE,OAK PARK,60302,OAK PARK,16-05-104-007-0000
"$10,671.09","$8,804.27","$5,469.70","$5,256.27","$8,976.62","1,132.50",0.00,906.0,"12,709.59","10,671.09","$348,160","34,816","4,528","1,530",2-03,27001,1230  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-104-008-0000
"$9,244.82","$5,209.12","$5,022.64","$4,826.66","$6,546.10","1,132.50",0.00,906.0,"11,283.32","9,244.82","$309,090","30,909","4,658","1,010",2-03,27001,1228  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-104-009-0000
"$4,103.27","$4,767.04","$4,596.39","$4,417.04","$6,063.67","1,132.50","4,279.26",906.0,"10,421.04","4,103.27","$285,470","28,547","4,658","1,010",2-03,27001,1226  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-104-010-0000
"$9,672.57","$9,329.23","$8,977.37","$8,802.27","$9,254.59","1,132.50",0.00,0.0,"10,805.07","9,672.57","$303,720","30,372","4,658","1,010",2-03,27001,1222  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-104-011-0000
"$7,895.56","$6,896.64","$8,241.33","$9,074.98","$8,471.79","1,132.50",0.00,906.0,"9,934.06","7,895.56","$272,130","27,213","4,658","1,053",2-03,27001,1220  HAYES AVE,OAK PARK,60302,OAK PARK,16-05-104-012-0000
